image_name,pressure_reading_1,pressure_reading_2,label
Gimage00.jpg,32.69,28.25,bayberry
Gimage01.jpg,31.21,30.37,bayberry
Gimage02.jpg,28.43,25.93,bayberry
Gimage03.jpg,25.8,24.36,bayberry
Gimage04.jpg,22.97,24.88,bayberry
Gimage05.jpg,19.88,27.21,bayberry
Gimage06.jpg,21.57,29.82,bayberry
Gimage07.jpg,19.02,29.99,bayberry
Gimage08.jpg,21.27,20.16,bayberry
Gimage09.jpg,21.73,25.01,bayberry
Gimage10.jpg,19.72,19.02,bayberry
Gimage11.jpg,23.31,27.47,bayberry
Gimage12.jpg,30.87,28.36,bayberry
Gimage13.jpg,25.89,25.19,bayberry
Gimage14.jpg,20.73,20.14,bayberry
Gimage15.jpg,19.32,23.87,bayberry
Gimage16.jpg,18.66,26.99,bayberry
Gimage17.jpg,20.58,33.77,bayberry
Gimage18.jpg,22.76,31.13,bayberry
Gimage19.jpg,22.59,30.43,bayberry
Gimage20.jpg,25.12,29.55,bayberry
Gimage21.jpg,25.35,28.96,bayberry
Gimage22.jpg,26.76,27.95,bayberry
Gimage23.jpg,35.13,33.92,bayberry
Gimage24.jpg,31.74,35.15,bayberry
Gimage25.jpg,29.43,38.29,bayberry
Gimage26.jpg,31.46,33.87,bayberry
Gimage27.jpg,33.24,30.83,bayberry
Gimage28.jpg,43.67,37.83,bayberry
Gimage29.jpg,37.46,39.57,bayberry
Gimage30.jpg,37.96,34.21,bayberry
Gimage31.jpg,29,37.29,bayberry
Gimage32.jpg,30.61,37.67,bayberry
Gimage33.jpg,32.32,31.38,bayberry
Gimage34.jpg,30.64,29.4,bayberry
Gimage35.jpg,37.99,33.25,bayberry
Gimage36.jpg,31.14,34.32,bayberry
Gimage37.jpg,33.48,34.04,bayberry
Gimage38.jpg,26.09,43.31,bayberry
Gimage39.jpg,22.4,29.24,bayberry
