image_name,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,label
Gimage000.jpg,27.7,23.3,151.1,157.1,bayberry
Gimage001.jpg,18.8,18.9,165.7,162.5,bayberry
Gimage002.jpg,16.2,16.7,167.1,164.0,bayberry
Gimage003.jpg,13.6,16.0,170.9,165.4,bayberry
Gimage004.jpg,13.8,21.0,171.2,165.9,bayberry
Gimage005.jpg,17.3,23.9,179.8,170.5,bayberry
Gimage006.jpg,17.0,28.3,175.8,162.3,bayberry
Gimage007.jpg,24.8,26.1,169.3,178.1,bayberry
Gimage008.jpg,15.4,19.8,178.7,182.5,bayberry
Gimage009.jpg,12.7,17.4,173.2,169.8,bayberry
Gimage010.jpg,14.7,14.4,174.2,170.5,bayberry
Gimage011.jpg,13.8,22.7,168.5,163.7,bayberry
Gimage012.jpg,14.9,25.5,179.8,168.4,bayberry
Gimage013.jpg,15.2,21.7,178.8,170.8,bayberry
Gimage014.jpg,14.5,16.6,166.2,166.9,bayberry
Gimage015.jpg,15.8,15.7,175.8,173.7,bayberry
Gimage016.jpg,16.2,15.7,175.1,174.9,bayberry
Gimage017.jpg,19.2,17.1,173.5,180.1,bayberry
Gimage018.jpg,16.7,15.7,178.8,175.5,bayberry
Gimage019.jpg,19.2,33.0,185.1,174.5,bayberry
Gimage020.jpg,24.4,28.3,187.9,182.4,bayberry
Gimage021.jpg,25.0,32.8,211.8,191.2,bayberry
Gimage022.jpg,25.8,29.1,195.5,191.6,bayberry
Gimage023.jpg,30.0,34.1,190.5,193.1,bayberry
Gimage024.jpg,31.8,28.3,170.8,183.8,bayberry
Gimage025.jpg,23.5,23.5,185.5,189.3,bayberry
Gimage026.jpg,26.0,32.0,191.4,186.0,bayberry
Gimage027.jpg,22.1,33.2,192.8,172.2,bayberry
Gimage028.jpg,28.0,28.3,194.6,186.9,bayberry
Gimage029.jpg,31.1,30.4,183.0,193.7,bayberry
Gimage030.jpg,29.4,30.9,184.8,191.9,bayberry
Gimage031.jpg,28.1,29.4,185.2,192.7,bayberry
Gimage032.jpg,21.0,34.1,180.6,171.2,bayberry
Gimage033.jpg,24.0,35.4,186.8,187.8,bayberry
Gimage034.jpg,28.2,27.4,194.3,188.7,bayberry
Gimage035.jpg,30.6,35.6,196.0,191.5,bayberry
Gimage036.jpg,35.5,34.1,186.5,195.7,bayberry
Gimage037.jpg,30.8,27.7,176.2,187.7,bayberry
Gimage038.jpg,18.9,29.0,178.6,163.0,bayberry
Gimage039.jpg,28.0,38.9,197.2,181.0,bayberry
Gimage040.jpg,29.9,39.2,199.3,190.2,bayberry
Gimage041.jpg,30.0,36.1,196.4,185.2,bayberry
Gimage042.jpg,39.1,28.7,191.6,187.7,bayberry
Gimage043.jpg,32.7,30.1,183.6,186.3,bayberry
Gimage044.jpg,33.1,37.1,196.5,190.5,bayberry
Gimage045.jpg,35.7,27.2,179.9,192.6,bayberry
Gimage046.jpg,28.1,41.8,193.7,181.6,bayberry
Gimage047.jpg,34.1,36.6,193.8,191.2,bayberry
Gimage048.jpg,34.0,31.4,184.1,191.7,bayberry
Gimage049.jpg,31.1,37.8,193.2,182.6,bayberry
