image_name,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,label
Gimage000.jpg,9.3,6.6,106.0,107.9,pistachio
Gimage001.jpg,9.6,8.6,116.9,116.1,pistachio
Gimage002.jpg,9.5,9.2,121.5,119.4,pistachio
Gimage003.jpg,8.3,8.9,124.4,122.8,pistachio
Gimage004.jpg,4.8,3.8,110.5,111.6,pistachio
Gimage005.jpg,6.6,3.6,117.4,118.9,pistachio
Gimage006.jpg,26.4,24.5,143.8,147.8,pistachio
Gimage007.jpg,19.6,9.3,142.6,145.4,pistachio
Gimage008.jpg,29.5,26.0,152.6,154.8,pistachio
Gimage009.jpg,29.9,24.7,154.3,153.8,pistachio
Gimage010.jpg,29.4,25.9,155.4,153.7,pistachio
Gimage011.jpg,29.3,30.0,149.4,147.6,pistachio
Gimage012.jpg,27.3,29.7,156.0,151.7,pistachio
Gimage013.jpg,23.9,20.8,147.4,146.3,pistachio
Gimage014.jpg,18.5,26.1,146.8,142.2,pistachio
Gimage015.jpg,22.1,19.5,150.2,147.5,pistachio
Gimage016.jpg,14.3,4.3,127.1,130.4,pistachio
Gimage017.jpg,9.6,6.0,133.5,133.0,pistachio
Gimage018.jpg,16.4,20.6,141.3,139.1,pistachio
Gimage019.jpg,15.9,22.8,140.8,138.3,pistachio
Gimage020.jpg,6.9,5.1,117.5,117.5,pistachio
Gimage021.jpg,16.1,13.5,133.0,132.9,pistachio
Gimage022.jpg,10.3,9.1,134.1,135.3,pistachio
Gimage023.jpg,21.8,19.7,141.9,142.7,pistachio
Gimage024.jpg,9.9,9.2,134.8,138.1,pistachio
Gimage025.jpg,24.2,24.0,145.7,143.8,pistachio
Gimage026.jpg,8.8,9.0,133.5,133.1,pistachio
Gimage027.jpg,9.3,9.2,127.4,124.7,pistachio
Gimage028.jpg,5.1,3.8,116.4,116.8,pistachio
Gimage029.jpg,9.3,8.3,134.6,134.7,pistachio
Gimage030.jpg,6.6,6.7,117.5,116.8,pistachio
Gimage031.jpg,11.1,7.5,137.2,135.3,pistachio
Gimage032.jpg,25.2,27.6,154.6,151.2,pistachio
Gimage033.jpg,8.5,8.6,133.9,133.3,pistachio
Gimage034.jpg,5.5,6.0,124.4,123.6,pistachio
Gimage035.jpg,20.5,17.0,148.4,152.4,pistachio
Gimage036.jpg,7.9,8.0,133.3,132.3,pistachio
Gimage037.jpg,26.4,21.6,154.7,152.2,pistachio
Gimage038.jpg,28.4,22.7,154.6,155.9,pistachio
Gimage039.jpg,27.0,12.7,150.3,154.6,pistachio
Gimage040.jpg,26.6,26.7,157.2,153.9,pistachio
Gimage041.jpg,7.4,8.1,131.4,130.4,pistachio
Gimage042.jpg,8.5,5.7,133.8,134.7,pistachio
Gimage043.jpg,6.3,7.6,129.3,128.0,pistachio
Gimage044.jpg,17.7,13.0,147.8,146.2,pistachio
Gimage045.jpg,24.5,18.8,146.0,149.3,pistachio
Gimage046.jpg,7.0,8.2,131.3,130.0,pistachio
Gimage047.jpg,7.8,5.8,128.9,129.6,pistachio
Gimage048.jpg,6.0,7.6,129.5,128.4,pistachio
Gimage049.jpg,10.2,15.5,135.3,132.6,pistachio
