image_name,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,label
Gimage000.jpg,14.1,11.7,115.8,126.5,redgrape
Gimage001.jpg,12.3,18.9,129.3,138.7,redgrape
Gimage002.jpg,14.0,18.4,143.6,147.5,redgrape
Gimage003.jpg,14.0,17.6,149.5,148.1,redgrape
Gimage004.jpg,14.1,18.4,144.1,139.1,redgrape
Gimage005.jpg,20.7,3.1,143.5,131.6,redgrape
Gimage006.jpg,14.8,28.1,152.3,143.7,redgrape
Gimage007.jpg,18.3,18.6,155.4,155.7,redgrape
Gimage008.jpg,16.7,17.5,150.1,154.4,redgrape
Gimage009.jpg,18.5,14.6,139.0,146.1,redgrape
Gimage010.jpg,15.2,25.4,150.1,158.1,redgrape
Gimage011.jpg,18.7,19.0,153.5,154.0,redgrape
Gimage012.jpg,19.1,18.3,147.6,142.7,redgrape
Gimage013.jpg,22.9,7.5,147.2,133.0,redgrape
Gimage014.jpg,11.2,40.4,159.9,158.2,redgrape
Gimage015.jpg,42.5,2.5,154.8,153.2,redgrape
Gimage016.jpg,49.0,1.4,143.9,139.5,redgrape
Gimage017.jpg,3.1,53.3,147.9,133.4,redgrape
Gimage018.jpg,3.1,58.9,162.0,160.7,redgrape
Gimage019.jpg,7.1,36.6,145.9,150.7,redgrape
Gimage020.jpg,24.6,9.0,140.9,146.4,redgrape
Gimage021.jpg,11.9,15.2,144.3,140.4,redgrape
Gimage022.jpg,13.5,16.6,151.9,148.0,redgrape
Gimage023.jpg,15.6,14.5,152.8,153.5,redgrape
Gimage024.jpg,16.9,12.2,145.7,153.4,redgrape
Gimage025.jpg,15.4,14.9,152.7,151.5,redgrape
Gimage026.jpg,37.5,3.7,156.1,149.3,redgrape
Gimage027.jpg,60.8,1.1,165.3,165.7,redgrape
Gimage028.jpg,23.8,6.7,148.0,156.7,redgrape
Gimage029.jpg,10.4,27.0,147.5,156.0,redgrape
Gimage030.jpg,0.8,64.4,169.9,177.7,redgrape
Gimage031.jpg,6.4,44.1,147.6,142.2,redgrape
Gimage032.jpg,46.0,3.8,143.8,155.1,redgrape
Gimage033.jpg,18.8,21.3,154.9,156.5,redgrape
Gimage034.jpg,32.6,12.5,159.8,153.7,redgrape
Gimage035.jpg,15.2,21.1,157.2,147.7,redgrape
Gimage036.jpg,24.7,27.4,162.1,157.2,redgrape
Gimage037.jpg,27.9,21.5,160.9,163.6,redgrape
Gimage038.jpg,30.1,10.4,157.1,154.1,redgrape
Gimage039.jpg,41.5,7.2,163.0,167.1,redgrape
Gimage040.jpg,16.9,13.4,141.4,144.2,redgrape
Gimage041.jpg,6.8,54.9,169.6,157.0,redgrape
Gimage042.jpg,17.3,27.6,143.8,136.0,redgrape
Gimage043.jpg,17.5,30.4,160.0,156.9,redgrape
Gimage044.jpg,17.9,24.9,161.4,162.7,redgrape
Gimage045.jpg,15.3,16.5,153.8,160.7,redgrape
Gimage046.jpg,8.4,28.1,153.1,160.5,redgrape
Gimage047.jpg,21.5,26.4,162.7,158.5,redgrape
Gimage048.jpg,20.0,25.5,153.5,156.8,redgrape
Gimage049.jpg,20.6,27.6,159.6,156.6,redgrape
