image_name,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,label
Piimage000.jpg,9.3,6.6,106,107.9,pistachio
Piimage001.jpg,9.6,8.6,116.9,116.1,pistachio
Piimage002.jpg,9.5,9.2,121.5,119.4,pistachio
Piimage003.jpg,8.3,8.9,124.4,122.8,pistachio
Piimage004.jpg,4.8,3.8,110.5,111.6,pistachio
Piimage005.jpg,6.6,3.6,117.4,118.9,pistachio
Piimage006.jpg,26.4,24.5,143.8,147.8,pistachio
Piimage007.jpg,19.6,9.3,142.6,145.4,pistachio
Piimage008.jpg,29.5,26,152.6,154.8,pistachio
Piimage009.jpg,29.9,24.7,154.3,153.8,pistachio
Piimage010.jpg,29.4,25.9,155.4,153.7,pistachio
Piimage011.jpg,29.3,30,149.4,147.6,pistachio
Piimage012.jpg,27.3,29.7,156,151.7,pistachio
Piimage013.jpg,23.9,20.8,147.4,146.3,pistachio
Piimage014.jpg,18.5,26.1,146.8,142.2,pistachio
Piimage015.jpg,22.1,19.5,150.2,147.5,pistachio
Piimage016.jpg,14.3,4.3,127.1,130.4,pistachio
Piimage017.jpg,9.6,6,133.5,133,pistachio
Piimage018.jpg,16.4,20.6,141.3,139.1,pistachio
Piimage019.jpg,15.9,22.8,140.8,138.3,pistachio
Piimage020.jpg,6.9,5.1,117.5,117.5,pistachio
Piimage021.jpg,16.1,13.5,133,132.9,pistachio
Piimage022.jpg,10.3,9.1,134.1,135.3,pistachio
Piimage023.jpg,21.8,19.7,141.9,142.7,pistachio
Piimage024.jpg,9.9,9.2,134.8,138.1,pistachio
Piimage025.jpg,24.2,24,145.7,143.8,pistachio
Piimage026.jpg,8.8,9,133.5,133.1,pistachio
Piimage027.jpg,9.3,9.2,127.4,124.7,pistachio
Piimage028.jpg,5.1,3.8,116.4,116.8,pistachio
Piimage029.jpg,9.3,8.3,134.6,134.7,pistachio
Piimage030.jpg,6.6,6.7,117.5,116.8,pistachio
Piimage031.jpg,11.1,7.5,137.2,135.3,pistachio
Piimage032.jpg,25.2,27.6,154.6,151.2,pistachio
Piimage033.jpg,8.5,8.6,133.9,133.3,pistachio
Piimage034.jpg,5.5,6,124.4,123.6,pistachio
Piimage035.jpg,20.5,17,148.4,152.4,pistachio
Piimage036.jpg,7.9,8,133.3,132.3,pistachio
Piimage037.jpg,26.4,21.6,154.7,152.2,pistachio
Piimage038.jpg,28.4,22.7,154.6,155.9,pistachio
Piimage039.jpg,27,12.7,150.3,154.6,pistachio
Piimage040.jpg,26.6,26.7,157.2,153.9,pistachio
Piimage041.jpg,7.4,8.1,131.4,130.4,pistachio
Piimage042.jpg,8.5,5.7,133.8,134.7,pistachio
Piimage043.jpg,6.3,7.6,129.3,128,pistachio
Piimage044.jpg,17.7,13,147.8,146.2,pistachio
Piimage045.jpg,24.5,18.8,146,149.3,pistachio
Piimage046.jpg,7,8.2,131.3,130,pistachio
Piimage047.jpg,7.8,5.8,128.9,129.6,pistachio
Piimage048.jpg,6,7.6,129.5,128.4,pistachio
Piimage049.jpg,10.2,15.5,135.3,132.6,pistachio
Piimage050.jpg,7.7,6.4,131,131.6,pistachio
Piimage051.jpg,23,24.6,160.4,157.3,pistachio
Piimage052.jpg,28.4,26.6,163.7,163.8,pistachio
Piimage053.jpg,28.4,20.5,161.3,162.2,pistachio
Piimage054.jpg,27.3,23.5,159,161.2,pistachio
Piimage055.jpg,8.2,7,139.5,138.1,pistachio
Piimage056.jpg,7.3,4.2,142.3,136.8,pistachio
Piimage057.jpg,8.9,6.4,140.1,140.9,pistachio
Piimage058.jpg,8.4,6.8,137.1,136.7,pistachio
Piimage059.jpg,13.8,12.1,150.8,153,pistachio
Piimage060.jpg,10.1,7.8,151.9,151.3,pistachio
Piimage061.jpg,6.2,5.3,157,156.9,pistachio
Piimage062.jpg,22.5,24.3,170.4,169.9,pistachio
Piimage063.jpg,18.2,17.5,167.6,166.4,pistachio
Piimage064.jpg,7.7,6.3,148,147.3,pistachio
Piimage065.jpg,8.1,5.2,152.6,145.9,pistachio
Piimage066.jpg,8.1,7.1,150.3,149.4,pistachio
Piimage067.jpg,23.7,23.3,169.5,168.6,pistachio
Piimage068.jpg,7.2,6.4,145.3,145.2,pistachio
Piimage069.jpg,12.2,5.8,153.5,153.1,pistachio
Piimage070.jpg,20,16.1,166.8,165.5,pistachio
Piimage071.jpg,20.5,12.2,170.2,157.2,pistachio
Piimage072.jpg,28.1,18.9,159.1,159.3,pistachio
Piimage073.jpg,9.8,8.2,146.8,145.4,pistachio
Piimage074.jpg,27.5,20.1,163.8,163.6,pistachio
Piimage075.jpg,25,18.5,167.5,169.4,pistachio
Piimage076.jpg,8,7.1,147.1,146.8,pistachio
Piimage077.jpg,8.2,8,143.7,143.9,pistachio
Piimage078.jpg,6.7,5,143.2,146.6,pistachio
Piimage079.jpg,10.9,8.2,147.5,149.2,pistachio
Piimage080.jpg,12.5,10.8,150,150.5,pistachio
Piimage081.jpg,25.9,21.4,164.8,162.6,pistachio
Piimage082.jpg,7.2,6.5,139.1,137.8,pistachio
Piimage083.jpg,27.1,26.5,167.6,166.2,pistachio
Piimage084.jpg,28.2,24.6,171.9,169.9,pistachio
Piimage085.jpg,11,7.9,147.5,147,pistachio
Piimage086.jpg,9.2,6.6,145.2,149.3,pistachio
Piimage087.jpg,14.7,13.7,167.6,169.1,pistachio
Piimage088.jpg,17,15.4,142,143.2,pistachio
Piimage089.jpg,9,9.9,143.3,141.7,pistachio
Piimage090.jpg,11.7,8.4,147.7,150,pistachio
Piimage091.jpg,21.2,23.5,160.7,159.5,pistachio
Piimage092.jpg,24.8,26.1,164.4,164.4,pistachio
Piimage093.jpg,12.4,10.2,149.5,149.1,pistachio
Piimage094.jpg,8.2,7.7,157.1,156.3,pistachio
Piimage095.jpg,8.7,8.3,143.7,142.7,pistachio
Piimage096.jpg,6.7,10.2,143.3,142,pistachio
Piimage097.jpg,6.9,7.7,142.1,141.2,pistachio
Piimage098.jpg,28.9,24.5,163.1,164.4,pistachio
Piimage099.jpg,9.2,6.9,143.9,144.5,pistachio
