image_name,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,label
Reimage000.jpg,14.1,11.7,115.8,126.5,redgrape
Reimage001.jpg,12.3,18.9,129.3,138.7,redgrape
Reimage002.jpg,14,18.4,143.6,147.5,redgrape
Reimage003.jpg,14,17.6,149.5,148.1,redgrape
Reimage004.jpg,14.1,18.4,144.1,139.1,redgrape
Reimage005.jpg,20.7,3.1,143.5,131.6,redgrape
Reimage006.jpg,14.8,28.1,152.3,143.7,redgrape
Reimage007.jpg,18.3,18.6,155.4,155.7,redgrape
Reimage008.jpg,16.7,17.5,150.1,154.4,redgrape
Reimage009.jpg,18.5,14.6,139,146.1,redgrape
Reimage010.jpg,15.2,25.4,150.1,158.1,redgrape
Reimage011.jpg,18.7,19,153.5,154,redgrape
Reimage012.jpg,19.1,18.3,147.6,142.7,redgrape
Reimage013.jpg,22.9,7.5,147.2,133,redgrape
Reimage014.jpg,11.2,40.4,159.9,158.2,redgrape
Reimage015.jpg,42.5,2.5,154.8,153.2,redgrape
Reimage016.jpg,49,1.4,143.9,139.5,redgrape
Reimage017.jpg,3.1,53.3,147.9,133.4,redgrape
Reimage018.jpg,3.1,58.9,162,160.7,redgrape
Reimage019.jpg,7.1,36.6,145.9,150.7,redgrape
Reimage020.jpg,24.6,9,140.9,146.4,redgrape
Reimage021.jpg,11.9,15.2,144.3,140.4,redgrape
Reimage022.jpg,13.5,16.6,151.9,148,redgrape
Reimage023.jpg,15.6,14.5,152.8,153.5,redgrape
Reimage024.jpg,16.9,12.2,145.7,153.4,redgrape
Reimage025.jpg,15.4,14.9,152.7,151.5,redgrape
Reimage026.jpg,37.5,3.7,156.1,149.3,redgrape
Reimage027.jpg,60.8,1.1,165.3,165.7,redgrape
Reimage028.jpg,23.8,6.7,148,156.7,redgrape
Reimage029.jpg,10.4,27,147.5,156,redgrape
Reimage030.jpg,0.8,64.4,169.9,177.7,redgrape
Reimage031.jpg,6.4,44.1,147.6,142.2,redgrape
Reimage032.jpg,46,3.8,143.8,155.1,redgrape
Reimage033.jpg,18.8,21.3,154.9,156.5,redgrape
Reimage034.jpg,32.6,12.5,159.8,153.7,redgrape
Reimage035.jpg,15.2,21.1,157.2,147.7,redgrape
Reimage036.jpg,24.7,27.4,162.1,157.2,redgrape
Reimage037.jpg,27.9,21.5,160.9,163.6,redgrape
Reimage038.jpg,30.1,10.4,157.1,154.1,redgrape
Reimage039.jpg,41.5,7.2,163,167.1,redgrape
Reimage040.jpg,16.9,13.4,141.4,144.2,redgrape
Reimage041.jpg,6.8,54.9,169.6,157,redgrape
Reimage042.jpg,17.3,27.6,143.8,136,redgrape
Reimage043.jpg,17.5,30.4,160,156.9,redgrape
Reimage044.jpg,17.9,24.9,161.4,162.7,redgrape
Reimage045.jpg,15.3,16.5,153.8,160.7,redgrape
Reimage046.jpg,8.4,28.1,153.1,160.5,redgrape
Reimage047.jpg,21.5,26.4,162.7,158.5,redgrape
Reimage048.jpg,20,25.5,153.5,156.8,redgrape
Reimage049.jpg,20.6,27.6,159.6,156.6,redgrape
Reimage050.jpg,12.8,14,139.4,135.9,redgrape
Reimage051.jpg,14.8,12.4,155.1,150.3,redgrape
Reimage052.jpg,16,8.7,153.1,153.4,redgrape
Reimage053.jpg,32.3,14.6,166.5,165.3,redgrape
Reimage054.jpg,23.9,24.7,168.6,163.9,redgrape
Reimage055.jpg,22.5,24.2,163.2,155.4,redgrape
Reimage056.jpg,17,18.9,162.5,159,redgrape
Reimage057.jpg,20.3,17.5,162.6,168.5,redgrape
Reimage058.jpg,22.7,22.5,167,166.6,redgrape
Reimage059.jpg,18.7,12.9,157.9,165.8,redgrape
Reimage060.jpg,14.4,10.1,154.1,159.9,redgrape
Reimage061.jpg,24,29.3,165.9,170.6,redgrape
Reimage062.jpg,12.8,14.9,159.1,158.6,redgrape
Reimage063.jpg,15.4,11.8,159.2,158,redgrape
Reimage064.jpg,14.9,14.8,160.5,159,redgrape
Reimage065.jpg,18.1,8.2,156,163.7,redgrape
Reimage066.jpg,13.9,14.9,159.6,159.2,redgrape
Reimage067.jpg,21.8,22.5,168,164.1,redgrape
Reimage068.jpg,19.9,21.9,181.3,174.6,redgrape
Reimage069.jpg,20.4,30.8,168.3,164.8,redgrape
Reimage070.jpg,12.9,20.2,164.8,165.5,redgrape
Reimage071.jpg,10.5,16.9,156.5,162.9,redgrape
Reimage072.jpg,16.2,6.3,151.7,160.2,redgrape
Reimage073.jpg,13.6,17.6,162.9,161.4,redgrape
Reimage074.jpg,32.6,5.5,159.6,162.3,redgrape
Reimage075.jpg,20.5,15,166.9,169.1,redgrape
Reimage076.jpg,21,21,169.7,165.1,redgrape
Reimage077.jpg,19.5,17.5,166.3,172.4,redgrape
Reimage078.jpg,13.6,21.5,153,163.5,redgrape
Reimage079.jpg,19.8,10.2,161.5,161.8,redgrape
Reimage080.jpg,20.2,10.3,181,175.8,redgrape
Reimage081.jpg,26.1,4.7,163.7,162.8,redgrape
Reimage082.jpg,18.7,13.1,154,152.5,redgrape
Reimage083.jpg,11.4,17.4,171.6,165.9,redgrape
Reimage084.jpg,12.2,19.6,161.6,164.8,redgrape
Reimage085.jpg,19.5,26.2,168.8,167.7,redgrape
Reimage086.jpg,20.6,33.3,168.8,167.4,redgrape
Reimage087.jpg,24.1,18.5,167.6,171.2,redgrape
Reimage088.jpg,26.1,21.8,163.6,165.6,redgrape
Reimage089.jpg,16.9,17.2,165.9,163.7,redgrape
Reimage090.jpg,15.1,16.6,166.3,161.6,redgrape
Reimage091.jpg,14.7,15.8,163,162.6,redgrape
Reimage092.jpg,23.5,17.4,169.7,170.4,redgrape
Reimage093.jpg,16.8,16.2,165.7,163.7,redgrape
Reimage094.jpg,16.8,5.1,155.9,157.9,redgrape
Reimage095.jpg,20,9.1,162.1,160.9,redgrape
Reimage096.jpg,17.1,13.6,162.6,158.5,redgrape
Reimage097.jpg,15.9,21.6,165.7,160.8,redgrape
Reimage098.jpg,18.5,16.8,165.5,162.4,redgrape
Reimage099.jpg,20.7,18.3,168.3,163,redgrape
