image_name,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,label
Cy4image000.jpg,16.6,52.3,277.9,252.5,cylinder_40
Cy4image001.jpg,24.7,36.3,293.6,265.1,cylinder_40
Cy4image002.jpg,30.2,30.8,297.4,274.9,cylinder_40
Cy4image003.jpg,31.1,41.4,298.2,281,cylinder_40
Cy4image004.jpg,29.8,41.6,301,278.6,cylinder_40
Cy4image005.jpg,33,42.8,298.3,287.6,cylinder_40
Cy4image006.jpg,32.8,43.9,295.7,290.1,cylinder_40
Cy4image007.jpg,31.3,43.3,285.1,299.9,cylinder_40
Cy4image008.jpg,28.5,44.7,274.4,302.3,cylinder_40
Cy4image009.jpg,32.9,42.8,283.8,292.4,cylinder_40
Cy4image010.jpg,26.2,40.8,301.7,278.8,cylinder_40
Cy4image011.jpg,24.2,32.1,295.6,270.4,cylinder_40
Cy4image012.jpg,33.7,42.3,306.5,299.7,cylinder_40
Cy4image013.jpg,32.1,41.4,288.1,294,cylinder_40
Cy4image014.jpg,25.6,42.6,268.9,298.5,cylinder_40
Cy4image015.jpg,32,43.4,290.7,294.1,cylinder_40
Cy4image016.jpg,30.7,41.7,300.8,281.7,cylinder_40
Cy4image017.jpg,22.9,34.4,291.2,266.1,cylinder_40
Cy4image018.jpg,26.3,37.9,299.4,276.4,cylinder_40
Cy4image019.jpg,32.2,41.1,289.3,291.9,cylinder_40
Cy4image020.jpg,29.9,38.5,300.1,279.9,cylinder_40
Cy4image021.jpg,25.4,39,268.6,301,cylinder_40
Cy4image022.jpg,32.8,42.8,293.1,289.8,cylinder_40
Cy4image023.jpg,32.3,41,296.6,284.5,cylinder_40
Cy4image024.jpg,30.9,45.8,300.3,279.3,cylinder_40
Cy4image025.jpg,28.7,39.1,278.5,301.2,cylinder_40
Cy4image026.jpg,31.9,42.1,291,292.8,cylinder_40
Cy4image027.jpg,28.3,39.4,298.8,279,cylinder_40
Cy4image028.jpg,32.5,40.9,292.2,292.6,cylinder_40
Cy4image029.jpg,34.6,41.3,290.8,289.5,cylinder_40
Cy4image030.jpg,32.6,42.2,292.1,291.1,cylinder_40
Cy4image031.jpg,30.7,42.9,301.9,282.8,cylinder_40
Cy4image032.jpg,50.3,55.5,280.8,283,cylinder_40
Cy4image033.jpg,33,48.9,293.4,279.4,cylinder_40
Cy4image034.jpg,27.2,30.5,303,275.2,cylinder_40
Cy4image035.jpg,44.5,55,293.7,290.8,cylinder_40
Cy4image036.jpg,43.7,41.1,307.2,315.6,cylinder_40
Cy4image037.jpg,45.7,49.4,293.7,296.4,cylinder_40
Cy4image038.jpg,44.8,52.3,290.9,295.5,cylinder_40
Cy4image039.jpg,53.5,41.5,280.6,279.7,cylinder_40
Cy4image040.jpg,50,36.3,286,266.5,cylinder_40
Cy4image041.jpg,50.2,35.3,282.8,270,cylinder_40
Cy4image042.jpg,34.1,48.9,277.2,287.2,cylinder_40
Cy4image043.jpg,26,36.8,299.1,277.5,cylinder_40
Cy4image044.jpg,47.5,48.9,289.4,286.5,cylinder_40
Cy4image045.jpg,35.6,31.2,272,296.2,cylinder_40
Cy4image046.jpg,39.1,45.5,285,287.9,cylinder_40
Cy4image047.jpg,48.7,51,286.2,283.1,cylinder_40
Cy4image048.jpg,41.4,39.4,278.5,292.1,cylinder_40
Cy4image049.jpg,50.4,53.8,282.9,284.1,cylinder_40
Cy4image050.jpg,52.4,47.4,302.3,301.1,cylinder_40
Cy4image051.jpg,30.8,39.8,300.3,277.9,cylinder_40
Cy4image052.jpg,40.2,56,284.2,287.2,cylinder_40
Cy4image053.jpg,32.3,45.1,277.6,289,cylinder_40
Cy4image054.jpg,41.4,54.9,287.9,282.4,cylinder_40
Cy4image055.jpg,22,53,294,274.7,cylinder_40
Cy4image056.jpg,36.6,48.3,292.5,293.4,cylinder_40
Cy4image057.jpg,49.3,38.3,271.7,287.2,cylinder_40
Cy4image058.jpg,36.8,45.5,285.3,283.8,cylinder_40
Cy4image059.jpg,30,50.9,295.7,275.5,cylinder_40
Cy4image060.jpg,39.5,37.2,314.3,325.4,cylinder_40
Cy4image061.jpg,27.1,50.9,285.4,284.9,cylinder_40
Cy4image062.jpg,38.2,36.1,316.1,326.4,cylinder_40
Cy4image063.jpg,33.9,35,323.2,316.1,cylinder_40
Cy4image064.jpg,39.1,42.6,296.6,299.2,cylinder_40
Cy4image065.jpg,37.7,43.1,319,305.4,cylinder_40
Cy4image066.jpg,34.9,37.6,325.4,312.5,cylinder_40
Cy4image067.jpg,38.9,33.5,317.6,319,cylinder_40
Cy4image068.jpg,38.8,36.2,313.4,324.7,cylinder_40
Cy4image069.jpg,44,38.4,297.4,304.7,cylinder_40
Cy4image070.jpg,35,39.5,322.9,310,cylinder_40
Cy4image071.jpg,38.3,34.8,317.5,316.1,cylinder_40
Cy4image072.jpg,30.2,50.3,288.3,272.3,cylinder_40
Cy4image073.jpg,47.1,52.6,281.1,279.4,cylinder_40
Cy4image074.jpg,27.1,37.2,292.2,275.8,cylinder_40
Cy4image075.jpg,30.8,41.3,294,280.2,cylinder_40
Cy4image076.jpg,30.8,29.8,273,295.8,cylinder_40
Cy4image077.jpg,33,45.8,291.5,278.5,cylinder_40
Cy4image078.jpg,42.2,51.3,284.2,280.5,cylinder_40
Cy4image079.jpg,31.4,41,290.4,285.2,cylinder_40
Cy4image080.jpg,41.9,47.5,295.3,289.8,cylinder_40
Cy4image081.jpg,41.3,46.4,293.6,295.7,cylinder_40
Cy4image082.jpg,33.2,42.2,299.4,297.7,cylinder_40
Cy4image083.jpg,35,35.4,319,313.5,cylinder_40
Cy4image084.jpg,40.4,41.6,308.3,299.3,cylinder_40
Cy4image085.jpg,34.3,35.2,319.6,316.2,cylinder_40
Cy4image086.jpg,43.7,50.1,296.7,289.8,cylinder_40
Cy4image087.jpg,34.2,35.6,322.8,317.6,cylinder_40
Cy4image088.jpg,36.9,37.2,317.4,302.9,cylinder_40
Cy4image089.jpg,38.6,33.7,317,318.5,cylinder_40
Cy4image090.jpg,42.3,37.8,295.3,305.3,cylinder_40
Cy4image091.jpg,27.2,45.6,309.4,287.1,cylinder_40
Cy4image092.jpg,29.7,37.2,293,279.4,cylinder_40
Cy4image093.jpg,38.5,37.8,303,306.9,cylinder_40
Cy4image094.jpg,43.5,51.5,295.1,287.6,cylinder_40
Cy4image095.jpg,34.9,41.3,315.6,307.5,cylinder_40
Cy4image096.jpg,41.2,41.7,303.8,294.5,cylinder_40
Cy4image097.jpg,29.8,39.8,290.5,282.3,cylinder_40
Cy4image098.jpg,28.3,40.8,296.3,272.5,cylinder_40
Cy4image099.jpg,23.9,41.3,270.4,297.2,cylinder_40
