image_name,weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,label
Banimage000.jpg,318.1,134.4,9.4,24.4,303.9,272.4,banana
Banimage001.jpg,327,147.4,9.8,27.7,305.9,293,banana
Banimage002.jpg,330.3,145.3,9.9,28.6,307,293.7,banana
Banimage003.jpg,321.7,142.6,12.7,27.5,300.7,285.6,banana
Banimage004.jpg,336.7,156.6,9.5,26,319.2,294.1,banana
Banimage005.jpg,333.3,153.5,13.6,24.3,303.6,289.1,banana
Banimage006.jpg,339.3,159.8,10.2,26.9,309.4,294.6,banana
Banimage007.jpg,340.1,160.3,12.9,25.8,312.5,296.2,banana
Banimage008.jpg,337.3,153.6,6.9,21.7,311.2,279.8,banana
Banimage009.jpg,335.5,155.2,14.2,22,304.2,293,banana
Banimage010.jpg,340.8,158.7,14.6,21.9,290.5,303.8,banana
Banimage011.jpg,345.1,165.1,17,16.8,301.4,301.7,banana
Banimage012.jpg,334,154.3,14.4,24.1,298.6,292.3,banana
Banimage013.jpg,349.3,168.3,10.4,19.5,307.8,300.2,banana
Banimage014.jpg,330.3,150.5,3.5,23.8,331.2,290.1,banana
Banimage015.jpg,342.1,161.8,8.7,21.6,317.5,296.4,banana
Banimage016.jpg,342.6,162.3,4.2,32.1,327.3,306.2,banana
Banimage017.jpg,348.7,168.6,5.8,35,329.9,317.2,banana
Banimage018.jpg,344.1,160.2,7.2,19.9,331.9,298,banana
Banimage019.jpg,355.5,173.9,7.9,26.4,336.6,314.7,banana
Banimage020.jpg,320.7,140.8,4.1,34.2,322.1,291,banana
Banimage021.jpg,346,166.1,10.9,23.9,311.1,308,banana
Banimage022.jpg,346.4,164.5,7.8,26.1,318.3,303.6,banana
Banimage023.jpg,347,166.9,4.9,20.1,337.6,293.9,banana
Banimage024.jpg,345.3,165.3,4.8,30.8,318.6,308.1,banana
Banimage025.jpg,346.3,166.7,8.3,26.6,326.2,308.8,banana
Banimage026.jpg,353.8,169.6,7.5,18,329.1,290.1,banana
Banimage027.jpg,350.1,171.1,6.9,34.3,331.9,320.5,banana
Banimage028.jpg,346.4,165.6,5.4,31.6,321.6,310.2,banana
Banimage029.jpg,349.2,168,7.8,32.4,330.6,315,banana
Banimage030.jpg,339.4,159.3,5.3,30.3,323,306.6,banana
Banimage031.jpg,346.3,163.7,5,18.7,322.1,287.9,banana
Banimage032.jpg,337.2,158,20.4,5.4,290.5,296.9,banana
Banimage033.jpg,348.1,168.7,23.7,4.8,310,307.2,banana
Banimage034.jpg,345.8,161.2,23.8,5.3,308.8,305.6,banana
Banimage035.jpg,331.3,150.3,19.8,6.8,309.3,289.9,banana
Banimage036.jpg,356.9,175.1,23,5.1,319.7,315.9,banana
Banimage037.jpg,331,150.8,21.4,3.7,308.8,288.8,banana
Banimage038.jpg,326.3,147,21.4,6.1,304.7,294,banana
Banimage039.jpg,327.7,147.1,7.2,28.5,302.3,296,banana
Banimage040.jpg,330.8,151,11.4,20.5,315.2,285.7,banana
Banimage041.jpg,350.7,171,2.5,25.8,340.3,310.3,banana
Banimage042.jpg,343.5,163.5,4,24.2,335.1,304.3,banana
Banimage043.jpg,334.7,151.2,24.4,6.3,293.8,292.8,banana
Banimage044.jpg,351.8,171.4,21.7,3.8,317.6,298.7,banana
Banimage045.jpg,345.2,164.7,24.2,6,312.6,305.5,banana
Banimage046.jpg,345.7,164.6,24.2,5.5,303.7,304.6,banana
Banimage047.jpg,338,155.4,24.7,6.1,305.9,295.8,banana
Banimage048.jpg,344.2,157.6,18,11.3,312.5,312.5,banana
Banimage049.jpg,337.8,157.6,4,24.1,321.7,288.3,banana
