image_name,weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,label
Caimage000.jpg,165.2,42.7,17.8,8.8,104.2,104.6,capsule
Caimage001.jpg,187.2,64.6,18.2,8.7,124,124.6,capsule
Caimage002.jpg,195.6,73.1,17.9,8.1,132.9,132.9,capsule
Caimage003.jpg,199.4,76.8,16.8,9.5,134.9,134.9,capsule
Caimage004.jpg,202.1,79.5,20.3,8.7,138.1,138.4,capsule
Caimage005.jpg,199.2,76.8,16.4,9.7,133.6,133.8,capsule
Caimage006.jpg,222.3,99.9,29.8,26.4,157.5,157.9,capsule
Caimage007.jpg,218.2,95.7,30.8,22.3,154.7,155.1,capsule
Caimage008.jpg,221.1,98.2,12.9,8.7,157.9,157.5,capsule
Caimage009.jpg,228.2,105,12.1,9.5,163.7,163.8,capsule
Caimage010.jpg,221.3,98.8,25.2,20.1,160.9,161.7,capsule
Caimage011.jpg,219.7,96.3,12.1,11,158.1,157.4,capsule
Caimage012.jpg,247.9,120,11.7,9.6,184.9,179.5,capsule
Caimage013.jpg,228.1,105.1,11.7,9,164.7,164.6,capsule
Caimage014.jpg,235,112,26.2,23.1,173.1,172.7,capsule
Caimage015.jpg,225,101.8,17.1,13.8,163,162.8,capsule
Caimage016.jpg,236.6,113.2,27.7,21.8,175.1,174.6,capsule
Caimage017.jpg,229.2,105.5,11.1,7.8,166.8,165.9,capsule
Caimage018.jpg,234.9,111,12.2,9,171.2,170.1,capsule
Caimage019.jpg,174.2,52.9,14.6,10.4,115.2,115.9,capsule
Caimage020.jpg,189.2,66.6,18.3,13.1,128.6,129.4,capsule
Caimage021.jpg,184.4,61.7,20.6,14.6,125.8,125.7,capsule
Caimage022.jpg,202.5,79.5,11.5,8.4,141.1,141,capsule
Caimage023.jpg,194.7,71.9,14.6,10.7,133.3,133.2,capsule
Caimage024.jpg,205.6,82.8,13.2,10,144.3,143.9,capsule
Caimage025.jpg,211.5,88.4,13,9.7,149.1,149.2,capsule
Caimage026.jpg,213.2,90,17.1,10.5,151.3,150.9,capsule
Caimage027.jpg,213.6,90.3,14.7,11.6,152,151.6,capsule
Caimage028.jpg,201.1,78.3,11,8.4,139.7,140.1,capsule
Caimage029.jpg,210.6,87.5,13.7,10.3,147.7,147.2,capsule
Caimage030.jpg,222.9,100.3,27.8,26.5,161,161,capsule
Caimage031.jpg,220.3,97.8,27.8,26.9,158.3,158.9,capsule
Caimage032.jpg,190.3,67.5,13.2,9.7,130.1,130.1,capsule
Caimage033.jpg,216.9,93.5,9.9,8.7,154.9,154.2,capsule
Caimage034.jpg,214.7,91.8,13.4,10.5,151.6,151.3,capsule
Caimage035.jpg,215,91.6,13,10,152.1,151.9,capsule
Caimage036.jpg,196,73.4,12.9,9.8,134.8,135.5,capsule
Caimage037.jpg,217,93.9,15.2,10.8,154.1,153.8,capsule
Caimage038.jpg,217.6,94.6,14.9,10.3,154.9,154.9,capsule
Caimage039.jpg,214,90.8,11.9,9.6,149.9,150,capsule
Caimage040.jpg,218.8,96.2,25.9,26.8,156.6,157.2,capsule
Caimage041.jpg,228.3,105.4,27.3,25.5,166,166.2,capsule
Caimage042.jpg,217.5,94.2,23.4,19.4,155.5,155.2,capsule
Caimage043.jpg,217,93.8,9.9,7.7,155.3,155.2,capsule
Caimage044.jpg,221.6,99,13.4,11.3,157.3,157.7,capsule
Caimage045.jpg,222,99.6,12.8,9,157.4,157.8,capsule
Caimage046.jpg,224.6,102,11.5,9.5,160.3,160.6,capsule
Caimage047.jpg,219.2,96.4,13.3,9.4,155.5,156.2,capsule
Caimage048.jpg,232.8,110,27.6,24.5,170,170.1,capsule
Caimage049.jpg,222.2,98.9,13.1,9.6,159.1,159.1,capsule
Caimage050.jpg,233.6,110.2,17.5,12.1,169.8,169.5,capsule
Caimage051.jpg,204.9,82.5,12.6,9.8,143,143.3,capsule
Caimage052.jpg,217.3,93.9,23.4,18.8,155.7,155,capsule
Caimage053.jpg,222.6,99.3,14.2,11.4,159.1,158.7,capsule
Caimage054.jpg,239.4,113.7,8.6,5.9,176.3,173.5,capsule
Caimage055.jpg,206.8,84.2,15.3,10.1,144.9,145.1,capsule
Caimage056.jpg,211.1,88,7.9,5.9,148.4,148.1,capsule
Caimage057.jpg,215.5,92.4,13.5,10.2,153.4,153.5,capsule
Caimage058.jpg,219.3,96,12.5,9.2,155.8,155.4,capsule
Caimage059.jpg,221.9,98.4,12.3,9.4,159.2,158.8,capsule
Caimage060.jpg,222.5,99.6,11.2,8.3,160.4,160.3,capsule
Caimage061.jpg,204.5,81.8,12.6,9.3,143.2,143.3,capsule
Caimage062.jpg,224.5,101.1,18.8,12.3,162.4,162.4,capsule
Caimage063.jpg,210.1,86.8,7.5,5.9,147.5,147.2,capsule
Caimage064.jpg,217.1,93.4,8.8,9.9,153.6,153,capsule
Caimage065.jpg,202.7,80.2,11.3,9,139.2,139.8,capsule
Caimage066.jpg,209.2,86.6,15.1,9.9,147.7,148.1,capsule
Caimage067.jpg,219,96.3,13,9.3,156.8,156.9,capsule
Caimage068.jpg,245.6,119.2,10.7,7.8,183.9,180,capsule
