image_name,weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,label
Egimage000.jpg,317.3,133.9,49.7,51.2,225.4,226,egg
Egimage001.jpg,401.7,216.8,90.7,54.1,317.8,317.6,egg
Egimage002.jpg,368.7,185.8,47.8,25.2,278.5,277.8,egg
Egimage003.jpg,323.2,139.5,46.7,52.2,232.7,233.1,egg
Egimage004.jpg,340.6,157,47.5,49.4,247,247.5,egg
Egimage005.jpg,390.8,206.4,46.2,88.4,314.4,314.7,egg
Egimage006.jpg,390,207.4,46.2,85.3,312.3,312.8,egg
Egimage007.jpg,345.1,161.6,50.1,44.8,252.9,253.8,egg
Egimage008.jpg,371,183.3,58,55.1,289.8,287.1,egg
Egimage009.jpg,387,202.8,39.8,76,314.5,315.8,egg
Egimage010.jpg,374.2,190.1,54.4,46.6,285.4,286.3,egg
Egimage011.jpg,405.6,220.7,42.6,44.9,306.7,305.5,egg
Egimage012.jpg,364.3,180.7,57.9,54.8,282.3,283.8,egg
Egimage013.jpg,347.3,163.4,50.3,55.3,264.1,264,egg
Egimage014.jpg,378.1,195,36.8,44.5,275.4,275.6,egg
Egimage015.jpg,402.2,219.1,37.6,67.4,309.8,310.4,egg
Egimage016.jpg,379.1,195.7,41.6,50.1,279.9,280.2,egg
Egimage017.jpg,406.9,223.7,34.5,49.5,309.9,310.3,egg
Egimage018.jpg,407.7,224.8,67.7,85,328.8,330.1,egg
Egimage019.jpg,370.3,187.1,39.9,49.6,277.4,278.2,egg
Egimage020.jpg,338.1,154.6,52.5,54.4,254.1,254.5,egg
Egimage021.jpg,348.6,165.1,50.4,52,261.4,263.1,egg
Egimage022.jpg,357,171.5,45.1,40.2,258.7,256.8,egg
Egimage023.jpg,348,164.6,41.7,40.4,249.1,249.5,egg
Egimage024.jpg,356.3,170.7,38.4,37.9,258.3,256.6,egg
Egimage025.jpg,312.1,128.3,46.2,51,219.3,219.7,egg
Egimage026.jpg,347.5,162.1,47.4,48.8,252.4,251,egg
Egimage027.jpg,350.5,165.3,43.5,49.2,254.3,253.4,egg
Egimage028.jpg,358.7,172,41.8,49.6,264.5,262.3,egg
Egimage029.jpg,346.1,161.9,44.8,53.3,252.6,252.7,egg
Egimage030.jpg,380.8,196.1,37.9,51.3,280.4,279.9,egg
Egimage031.jpg,360,175.5,51,58.1,280.9,281,egg
Egimage032.jpg,367.7,182.9,36.4,58.6,280.4,280.2,egg
Egimage033.jpg,399.9,215.8,34.7,69.4,306.6,306.8,egg
Egimage034.jpg,321,138.7,48.8,53.2,238.5,237.9,egg
Egimage035.jpg,385.5,203.1,34.3,54.2,299,298.7,egg
Egimage036.jpg,387.4,205.2,37.8,58.3,308.8,309.7,egg
Egimage037.jpg,353.4,171.7,42.2,51.2,262.6,263.8,egg
Egimage038.jpg,349.3,167.1,48.2,47.7,258.1,259.2,egg
Egimage039.jpg,378.9,197.2,48.1,36.6,282.1,281.9,egg
Egimage040.jpg,391.3,209.5,41.7,40.1,291.6,291.6,egg
Egimage041.jpg,351.7,169.7,55.9,57.1,277.1,279.1,egg
Egimage042.jpg,339.4,157.5,49.1,47.9,254.1,254.3,egg
Egimage043.jpg,340.5,158.9,44,42.8,248.3,249.4,egg
Egimage044.jpg,358.9,176.8,48.6,44.2,266,267.1,egg
Egimage045.jpg,349.7,167.8,53.8,53.5,270.4,270.8,egg
Egimage046.jpg,390.2,208.1,44.7,37.5,297.1,297,egg
Egimage047.jpg,346.6,164.7,39.7,34.8,245.7,245.8,egg
Egimage048.jpg,345.5,164.2,39,37.6,250.3,250.8,egg
Egimage049.jpg,352.5,171.1,43.2,40.5,254.3,254.7,egg
Egimage050.jpg,384.5,198.3,45.6,40.6,291.5,287.6,egg
Egimage051.jpg,414.5,228.2,53.7,85,330.8,327.4,egg
Egimage052.jpg,407.6,221.9,44.2,86.5,327.2,324.4,egg
Egimage053.jpg,387.8,202.5,41.5,36.2,293.7,291.1,egg
Egimage054.jpg,367.7,186,48,36.6,284.4,284.4,egg
Egimage055.jpg,342.7,160.7,45.5,36.5,251.1,251.6,egg
Egimage056.jpg,344,160.4,50.6,43.8,257,256,egg
Egimage057.jpg,339.3,156.9,49.6,47.1,255.6,256.1,egg
Egimage058.jpg,349.4,166.8,45.3,38.7,258.3,258.5,egg
Egimage059.jpg,379.5,196.3,41.4,36,286,284,egg
Egimage060.jpg,358.8,177,23.4,17.2,255.4,254.7,egg
Egimage061.jpg,371,189,46.1,37.3,284.8,285.6,egg
Egimage062.jpg,369.3,188.5,54,51.4,302.7,304.5,egg
Egimage063.jpg,352.1,168.4,49.4,32.6,264.2,262.9,egg
Egimage064.jpg,428.4,239.2,31.8,65.2,331.3,324.3,egg
Egimage065.jpg,375.4,191.8,44,51.9,302.2,302.4,egg
Egimage066.jpg,360.3,177.8,41.7,34.5,264.7,264.2,egg
Egimage067.jpg,389.9,207.7,42,28.4,291.3,291.1,egg
Egimage068.jpg,393.2,211,76.9,78.6,303.5,303.7,egg
Egimage069.jpg,331.3,149.8,45.7,38.3,237.9,238.6,egg
