image_name,weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,label
Piimage000.jpg,193.9,72,23.7,14.8,134.1,134,pistachio
Piimage001.jpg,221.5,98.2,27,19.7,160.6,159.9,pistachio
Piimage002.jpg,214.8,92.3,24.5,20.4,154.7,154.7,pistachio
Piimage003.jpg,241.5,115,21.3,14.8,177.5,173.9,pistachio
Piimage004.jpg,237.7,110.2,11.5,17.5,173.5,169.6,pistachio
Piimage005.jpg,256,131.7,28.2,27.3,194.3,193.8,pistachio
Piimage006.jpg,255.9,132.2,28.9,29.6,193.9,193.2,pistachio
Piimage007.jpg,252.8,129.2,34.5,28.3,191.5,190.5,pistachio
Piimage008.jpg,229.3,105.4,30.9,25.7,186.6,185.8,pistachio
Piimage009.jpg,236.8,113.1,19.5,18.6,173.9,173.1,pistachio
Piimage010.jpg,252.3,122.3,16.2,12.7,189.9,183,pistachio
Piimage011.jpg,243.4,119.6,22.8,15.8,179.4,178.3,pistachio
Piimage012.jpg,258.6,134.7,35.2,25.4,196.5,195.9,pistachio
Piimage013.jpg,252.9,125.3,16.8,9.8,190.6,186.1,pistachio
Piimage014.jpg,231.4,107.1,18.8,12,170,169.3,pistachio
Piimage015.jpg,253.7,129.2,27.3,18.8,194.6,193.5,pistachio
Piimage016.jpg,263.9,140.3,32.3,28,200.2,199.6,pistachio
Piimage017.jpg,258.8,135.8,26.6,31.8,196.6,195.9,pistachio
Piimage018.jpg,258,133.8,23.5,25.5,198.2,196.8,pistachio
Piimage019.jpg,244.1,120.2,17.8,12.5,181.8,181,pistachio
Piimage020.jpg,259.9,131.9,19.2,15.8,196.1,190.4,pistachio
Piimage021.jpg,261.9,138.4,30.4,29.8,201.2,200.4,pistachio
Piimage022.jpg,251.8,128.1,27.8,28.6,188,187.4,pistachio
Piimage023.jpg,264.8,139.3,30.4,19.9,204.5,202.1,pistachio
Piimage024.jpg,261,138.1,31.1,29.4,198.2,198.8,pistachio
Piimage025.jpg,240.7,117.7,21.9,12.9,177.9,177.3,pistachio
Piimage026.jpg,238.3,114.9,25.5,17.3,176.1,176.4,pistachio
Piimage027.jpg,230.5,108.5,22.7,23.4,167,167.4,pistachio
Piimage028.jpg,255.2,132.7,32.4,29.1,193,193.3,pistachio
Piimage029.jpg,221.1,99.1,26.7,17.8,160,160.5,pistachio
Piimage030.jpg,258.6,135.6,32.2,28.3,197.7,197.5,pistachio
Piimage031.jpg,260.3,137.7,31.8,34.6,195.9,195.8,pistachio
Piimage032.jpg,272.8,148.5,34.2,27.6,210.4,209.2,pistachio
Piimage033.jpg,229.7,107.8,18.9,12,168.4,168.6,pistachio
Piimage034.jpg,208.1,85.5,18.5,13.8,147.5,148.1,pistachio
Piimage035.jpg,200.6,97.2,14,9,139.3,158.8,pistachio
Piimage036.jpg,232.9,110.2,21.5,14.4,170,169.6,pistachio
Piimage037.jpg,222.5,111.8,22.7,15.4,159.8,171.3,pistachio
Piimage038.jpg,241.7,120,22.6,15,180.5,180.6,pistachio
Piimage039.jpg,239.7,116.1,22.9,19,175.6,175.8,pistachio
Piimage040.jpg,237.7,115,28.1,16.9,177.6,177.2,pistachio
Piimage041.jpg,238.1,116.7,32.9,25.8,174.7,175.3,pistachio
Piimage042.jpg,254.5,129.2,19.2,13,190.2,186.8,pistachio
Piimage043.jpg,233,110.1,15.7,9.8,171.2,171.4,pistachio
Piimage044.jpg,265.6,142.5,30.6,30.9,203.2,202.8,pistachio
Piimage045.jpg,240.3,117.8,32.3,22,179.7,180.2,pistachio
Piimage046.jpg,237.9,114.8,12.1,7.1,177.2,176.8,pistachio
Piimage047.jpg,248.9,126.3,19.9,12.3,186.2,185.2,pistachio
