image_name,weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,label
Rblimage000.jpg,439,235.6,34.6,35.6,332.7,333.4,roundbottlelarge
Rblimage001.jpg,482.3,278.3,34.3,40,374.3,375.9,roundbottlelarge
Rblimage002.jpg,494.8,290.9,32.2,40.2,387.7,390.2,roundbottlelarge
Rblimage003.jpg,526.1,322.1,32.4,37.4,417.6,419.9,roundbottlelarge
Rblimage004.jpg,521.3,318,20.2,38.7,417.8,419.7,roundbottlelarge
Rblimage005.jpg,541.6,337.1,22.1,25.9,434.8,437.5,roundbottlelarge
Rblimage006.jpg,544.3,340.1,18.6,23.8,439.4,441.5,roundbottlelarge
Rblimage007.jpg,526.6,322,32.3,37.2,424.4,425.9,roundbottlelarge
Rblimage008.jpg,512.8,308.9,41.2,49.5,410.6,412.7,roundbottlelarge
Rblimage009.jpg,496.8,293.2,38.4,56.5,393.7,397.4,roundbottlelarge
Rblimage010.jpg,476.7,272.3,41.6,48.4,376.4,379,roundbottlelarge
Rblimage011.jpg,527.1,323,30.3,44.4,424.2,424.8,roundbottlelarge
Rblimage012.jpg,537.3,333,26.2,33.7,433,434.4,roundbottlelarge
Rblimage013.jpg,542,336.8,21.7,29.2,438.3,439.2,roundbottlelarge
Rblimage014.jpg,549.2,345.7,21.5,22,444,446.6,roundbottlelarge
Rblimage015.jpg,531.2,327.8,26.6,30.3,421.3,423.4,roundbottlelarge
Rblimage016.jpg,497.6,294.2,28.7,35,384.6,387.8,roundbottlelarge
Rblimage017.jpg,523.8,320,25.3,35.5,414.9,417.6,roundbottlelarge
Rblimage018.jpg,539.5,335.6,21.5,33.8,430.2,432.7,roundbottlelarge
Rblimage019.jpg,556.8,352.9,21.2,19.9,449.7,453.3,roundbottlelarge
Rblimage020.jpg,529.7,324.8,35.8,35.8,425.5,426.5,roundbottlelarge
Rblimage021.jpg,514.3,309.8,36.3,47,409.7,412.7,roundbottlelarge
Rblimage022.jpg,541.2,336.3,21.7,38.2,437.2,438.1,roundbottlelarge
Rblimage023.jpg,521.6,316.5,42.1,36.8,418.7,419.3,roundbottlelarge
Rblimage024.jpg,492.6,287.2,43.2,43.6,390.3,391.3,roundbottlelarge
Rblimage025.jpg,565.1,357.4,18.9,36,460.5,459,roundbottlelarge
Rblimage026.jpg,558,353.2,17.9,30.8,451.9,453.1,roundbottlelarge
Rblimage027.jpg,550.1,345.6,25.6,18.5,442.6,443.6,roundbottlelarge
Rblimage028.jpg,518,314.3,22.7,24.7,407.2,409.8,roundbottlelarge
Rblimage029.jpg,534.5,330.6,20.6,31.3,427.8,428.7,roundbottlelarge
Rblimage030.jpg,524.7,321.5,32.9,37.8,416.7,419.1,roundbottlelarge
Rblimage031.jpg,480.6,276.6,42.1,48.7,368.5,370.4,roundbottlelarge
Rblimage032.jpg,519.2,313.3,46.9,41.7,408.9,409.3,roundbottlelarge
Rblimage033.jpg,544.8,338.8,35.1,33.4,435,435.6,roundbottlelarge
Rblimage034.jpg,475.6,271.9,50.3,51.6,376.1,379.9,roundbottlelarge
Rblimage035.jpg,520.8,313.7,56.1,66.1,414.7,413.5,roundbottlelarge
Rblimage036.jpg,474.4,269.7,60.2,59.5,373,375.7,roundbottlelarge
Rblimage037.jpg,469.6,264.7,56.8,62.3,370.7,372.2,roundbottlelarge
Rblimage038.jpg,503.2,296.2,35.3,58.6,400.6,401.1,roundbottlelarge
Rblimage039.jpg,502.3,295.5,39.9,47.7,394.4,393.9,roundbottlelarge
Rblimage040.jpg,526.7,314.4,60.8,49,423,417.4,roundbottlelarge
Rblimage041.jpg,527.6,322.2,69.4,54.5,419.2,420.3,roundbottlelarge
Rblimage042.jpg,501.2,297.5,58.7,50.2,396.2,399.5,roundbottlelarge
Rblimage043.jpg,522.9,315.9,52.9,63.7,416.6,417,roundbottlelarge
Rblimage044.jpg,523.1,318.9,31.6,49.6,413.9,415.1,roundbottlelarge
Rblimage045.jpg,522.6,318.5,32.3,50.6,412.4,413.6,roundbottlelarge
Rblimage046.jpg,541.1,337.3,57.7,62.4,432.6,434.4,roundbottlelarge
Rblimage047.jpg,490.6,288.1,35,44.2,383.6,385.5,roundbottlelarge
Rblimage048.jpg,495,293.2,33,52.6,387.2,392.1,roundbottlelarge
Rblimage049.jpg,535.3,331.1,34.9,34.1,427.9,429.5,roundbottlelarge
Rblimage050.jpg,462.5,259.3,44.9,43.8,349.2,350.9,roundbottlelarge
Rblimage051.jpg,497.8,293.7,44.5,44.9,382,382.9,roundbottlelarge
Rblimage052.jpg,500.8,297.5,44.6,45.3,387,388.4,roundbottlelarge
Rblimage053.jpg,521.3,317.8,46.9,44,409.6,411.4,roundbottlelarge
Rblimage054.jpg,520.8,316.8,52.8,56.7,410.6,413.8,roundbottlelarge
Rblimage055.jpg,523.3,319.3,45.5,46.7,415,416.6,roundbottlelarge
Rblimage056.jpg,528.5,324.5,37.1,39.3,420.3,423.1,roundbottlelarge
Rblimage057.jpg,527.8,323.9,37.5,34,418.8,421.6,roundbottlelarge
Rblimage058.jpg,497.1,292.9,54,53.4,392.2,395.1,roundbottlelarge
Rblimage059.jpg,472.8,268.5,57.4,58.9,372.8,374.7,roundbottlelarge
Rblimage060.jpg,478.5,273.5,56.8,58.9,375.9,377.6,roundbottlelarge
Rblimage061.jpg,522.7,318.4,38.4,35,414.9,417.8,roundbottlelarge
Rblimage062.jpg,529.6,324.9,44.7,31.5,423.6,424.4,roundbottlelarge
Rblimage063.jpg,514.2,308.4,42.9,52.1,402.8,402.9,roundbottlelarge
Rblimage064.jpg,500.1,294.6,40.4,40.2,384.8,385.8,roundbottlelarge
Rblimage065.jpg,487.5,283.2,34.1,35.1,371.9,374.5,roundbottlelarge
Rblimage066.jpg,491.5,286.8,40.1,37.1,374.6,375.3,roundbottlelarge
Rblimage067.jpg,514.9,310.3,32,42.9,405.1,405.2,roundbottlelarge
Rblimage068.jpg,513.8,309.9,37.9,37.1,399.9,402.5,roundbottlelarge
Rblimage069.jpg,518,313.5,45.9,38.7,407.2,408.4,roundbottlelarge
Rblimage070.jpg,530.9,326.6,40.1,40,419.9,422.6,roundbottlelarge
Rblimage071.jpg,532.9,328.6,35.4,42.3,424.1,426.7,roundbottlelarge
Rblimage072.jpg,540.2,332.8,49.5,63.7,430.7,431,roundbottlelarge
Rblimage073.jpg,497.7,292.6,51.4,56.2,392.9,395.9,roundbottlelarge
Rblimage074.jpg,505.6,300.7,55.8,47,399,402.1,roundbottlelarge
Rblimage075.jpg,559.7,352.2,32,38.6,450.6,448.1,roundbottlelarge
Rblimage076.jpg,477.6,272.9,34.2,27.7,361.2,362.6,roundbottlelarge
Rblimage077.jpg,515.9,309.6,32.6,29.1,404.5,404.9,roundbottlelarge
Rblimage078.jpg,521.8,317.3,34.3,33.2,415.6,416.8,roundbottlelarge
Rblimage079.jpg,524.1,320.2,39,43.1,415.6,417.9,roundbottlelarge
Rblimage080.jpg,543.4,339.1,32.7,32.1,435.8,438.7,roundbottlelarge
Rblimage081.jpg,535.2,330.4,25.9,22.2,429.3,431.2,roundbottlelarge
Rblimage082.jpg,511.5,305,37.3,39.9,406.9,407.8,roundbottlelarge
Rblimage083.jpg,489.9,283.9,44.9,41.1,387.2,388.3,roundbottlelarge
Rblimage084.jpg,540.6,336.9,22.4,43.5,432.6,435.5,roundbottlelarge
Rblimage085.jpg,551.1,347.6,21.1,28.3,443.3,446.6,roundbottlelarge
Rblimage086.jpg,524.2,320.3,37.3,30.6,413.7,416.5,roundbottlelarge
Rblimage087.jpg,521.6,317.9,30.4,27.2,407.3,410.8,roundbottlelarge
Rblimage088.jpg,493.7,289,44.7,40.6,391.6,394.5,roundbottlelarge
Rblimage089.jpg,528.4,324.4,39.3,32,421.3,424.6,roundbottlelarge
Rblimage090.jpg,485.9,281.2,44.3,39.3,385,387.6,roundbottlelarge
Rblimage091.jpg,548.1,337.3,29.6,26.9,443.4,439.9,roundbottlelarge
Rblimage092.jpg,539.1,333,34.2,16.5,432.9,433.8,roundbottlelarge
Rblimage093.jpg,530.1,325.7,27.5,22.7,423.6,426,roundbottlelarge
Rblimage094.jpg,513.5,308.7,30,36.1,403.3,404.8,roundbottlelarge
Rblimage095.jpg,500.1,294.9,31.8,23.7,386,386.9,roundbottlelarge
Rblimage096.jpg,490.6,285.4,28.5,28.3,373.6,375.3,roundbottlelarge
Rblimage097.jpg,498.1,293.7,32.2,28.9,383.7,385.3,roundbottlelarge
Rblimage098.jpg,527.1,322.4,35.7,38.3,419.9,422.8,roundbottlelarge
Rblimage099.jpg,533,328.3,24.7,26.5,425.7,427.4,roundbottlelarge
