image_name,weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,label
Sbimage000.jpg,393.6,183.7,42.6,41.9,287.8,288.5,squarebottle
Sbimage001.jpg,432.3,221.8,30.7,34.2,324,325.3,squarebottle
Sbimage002.jpg,419.2,209.1,24.4,24.3,313.5,315.7,squarebottle
Sbimage003.jpg,422.9,211.8,32.8,32.7,315.5,316.7,squarebottle
Sbimage004.jpg,436.1,224.5,31.1,21,328.6,329.4,squarebottle
Sbimage005.jpg,443.3,231.6,24.7,32.5,334.7,334.2,squarebottle
Sbimage006.jpg,440.1,228.4,25.9,24.8,332.2,331.6,squarebottle
Sbimage007.jpg,421.6,210.7,26.3,24.8,312.8,314.3,squarebottle
Sbimage008.jpg,420,208.9,27.6,27,311.9,313.1,squarebottle
Sbimage009.jpg,416,203.8,36.2,31.7,309.7,310.1,squarebottle
Sbimage010.jpg,433.5,222.3,33.5,35.1,324.2,325.1,squarebottle
Sbimage011.jpg,452.4,241,29.6,32.8,341.3,342,squarebottle
Sbimage012.jpg,436,224.6,37.6,43.7,320,320.5,squarebottle
Sbimage013.jpg,431.1,219.7,43.1,32.9,315.5,315.5,squarebottle
Sbimage014.jpg,420.4,209.3,39,34.1,302.4,302.5,squarebottle
Sbimage015.jpg,409.4,197.9,30.6,33.8,289.9,289,squarebottle
Sbimage016.jpg,426,214.9,37.5,38.7,308.4,308.8,squarebottle
Sbimage017.jpg,456.2,244.8,24.6,44.8,343.9,344.6,squarebottle
Sbimage018.jpg,428.4,217.3,40.5,35.7,310.2,310.6,squarebottle
Sbimage019.jpg,433.6,222.8,41.4,40.9,319.6,320.7,squarebottle
Sbimage020.jpg,446.4,235.7,24.5,43.9,335.4,336.5,squarebottle
Sbimage021.jpg,472.6,255.3,33.7,27.1,363.9,358.8,squarebottle
Sbimage022.jpg,449.3,238,24.9,25.8,341,342.2,squarebottle
Sbimage023.jpg,459.7,247.9,27.9,19.8,350.2,350.6,squarebottle
Sbimage024.jpg,461.7,250.5,20.9,28.9,351.8,352,squarebottle
Sbimage025.jpg,461.4,250,27.9,17.8,352.7,352.7,squarebottle
Sbimage026.jpg,447,235.7,28,20.6,338,338.6,squarebottle
Sbimage027.jpg,444.4,234.1,28.4,30,335.1,337.5,squarebottle
Sbimage028.jpg,462.5,251.8,25.1,26.2,351.4,353.3,squarebottle
Sbimage029.jpg,437.9,227.6,38.6,39.6,322.8,323.6,squarebottle
Sbimage030.jpg,460.6,250,30.5,22.4,352.2,353,squarebottle
Sbimage031.jpg,440.7,230.2,29.2,30.3,332,334.5,squarebottle
Sbimage032.jpg,445.9,235.6,47.7,32.8,335.9,338.7,squarebottle
Sbimage033.jpg,462.9,252.1,43.9,32.4,357.9,358.5,squarebottle
Sbimage034.jpg,430.2,219.7,37.6,40.8,322.2,323.9,squarebottle
Sbimage035.jpg,394.8,184.8,40.6,38.7,292.7,295.4,squarebottle
Sbimage036.jpg,409.1,197.7,41.6,36.4,304.4,305.5,squarebottle
Sbimage037.jpg,421.7,209.8,38.3,43.7,314.8,315.5,squarebottle
Sbimage038.jpg,421.6,209.8,43,36.1,316.2,315.2,squarebottle
Sbimage039.jpg,441,229.7,39.5,31.7,332.4,332.1,squarebottle
Sbimage040.jpg,454.7,243.7,28.2,45.6,341.5,342.1,squarebottle
Sbimage041.jpg,462.6,251.6,36.5,14.8,352.3,352.9,squarebottle
Sbimage042.jpg,442.3,231.4,27.2,29.8,332.4,334,squarebottle
