weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p13_x,p13_y,p14_x,p14_y,p15_x,p15_y,p16_x,p16_y,label
121.7,110.4,25.4,47.3,277.1,277.6,0,0,0.47580975,0.10533071,0.8098578,0.31078437,0.8185311,0.6796465,0.49067757,0.9394937,0.15838966,0.689866,0.45963576,0.23537418,0.45169136,0.38861436,0.44648004,0.5202272,0.45583898,0.64935774,0.47216076,0.7939726,0.51273835,0.8048533,0.52485436,0.65433013,0.5305102,0.52782124,0.5192728,0.39918873,0.50065494,0.25101832,banana
126.8,106.8,29.9,46.8,290,292,0,0,0.47555923,0.10456654,0.80910325,0.30414188,0.8183719,0.67783517,0.49094442,0.937654,0.15839238,0.6920183,0.46018726,0.23472705,0.45259288,0.38839057,0.44736356,0.5202846,0.45656583,0.6494319,0.47283024,0.7936846,0.5127657,0.8036192,0.5249808,0.6532435,0.5306937,0.52681273,0.51951385,0.39829972,0.500866,0.25024664,banana
120.5,110.8,19.7,44.2,277.9,277.5,0,0,0.4755685,0.10436464,0.8097161,0.31239524,0.8188664,0.6796739,0.49139062,0.9388289,0.15836483,0.6907451,0.45891294,0.23477396,0.45083395,0.38812256,0.44576693,0.51965755,0.4554356,0.6488013,0.47221285,0.7935149,0.5130599,0.8047791,0.5247279,0.6543046,0.53015035,0.52756697,0.51883507,0.39868122,0.5002817,0.25037712,banana
122,109.8,19.8,50.1,274.6,274.8,0,0,0.4757463,0.1050721,0.80866516,0.30741626,0.818447,0.6814042,0.49086288,0.9383049,0.16101733,0.6874984,0.4608966,0.23505078,0.4539643,0.38843244,0.4490674,0.5206964,0.45814332,0.65007913,0.47374862,0.7940499,0.5135697,0.80464363,0.5261889,0.6543251,0.53192514,0.5282415,0.5204377,0.39976394,0.5013579,0.25114998,banana
125,107.5,18.4,47.9,278.6,279,0,0,0.4758158,0.10894622,0.80800503,0.30634463,0.8183216,0.6790852,0.4897614,0.9316465,0.15548068,0.6907218,0.4601421,0.23458748,0.45276836,0.3869591,0.44752324,0.51906383,0.45618287,0.64875126,0.4716138,0.7930551,0.51127994,0.8034359,0.5226456,0.65341365,0.52833277,0.52661663,0.5177092,0.39782146,0.49998903,0.25044647,banana
122.7,108.7,17.9,47.7,278.2,277.9,0,0,0.47673294,0.10992933,0.8100308,0.31078407,0.8195497,0.679324,0.4912281,0.9365155,0.15761214,0.6902886,0.46071133,0.23593459,0.45327133,0.38853624,0.44807675,0.5202215,0.45711097,0.649616,0.47292653,0.79413223,0.5128609,0.80514187,0.52416795,0.65504146,0.52959967,0.52808046,0.51877165,0.39911884,0.500969,0.251671,banana
118.6,114,19.9,44.8,272.8,273.3,0,0,0.47563118,0.113098085,0.804929,0.32191986,0.81497747,0.6798731,0.48965803,0.9320867,0.15499768,0.69375914,0.4582761,0.23700725,0.45050701,0.38845262,0.44553113,0.5201614,0.45445636,0.64975196,0.4702183,0.79405093,0.5100262,0.80601156,0.5198356,0.65640604,0.52502465,0.5293802,0.5145221,0.4002601,0.49774393,0.25294107,banana
122.1,110,18.9,49.1,262.1,262.3,0,0,0.47619843,0.11219084,0.8070172,0.30972075,0.8182768,0.67864263,0.49019545,0.9364839,0.15594786,0.6928509,0.4602612,0.23702776,0.4527639,0.38927534,0.44754016,0.52119243,0.4562579,0.6506905,0.47177476,0.7952042,0.51132303,0.8059696,0.5221814,0.6557861,0.5275745,0.5289549,0.5169405,0.3999966,0.49954373,0.25266466,banana
125.7,106.4,29.3,51.1,304.3,303.9,0,0,0.47772607,0.10550157,0.8125391,0.29242855,0.8194963,0.6754641,0.4900362,0.93767357,0.1608552,0.69267267,0.46285534,0.23380272,0.45528382,0.38734496,0.4493787,0.5196299,0.45774543,0.649267,0.47295788,0.7937972,0.5126108,0.80219203,0.52565366,0.65147656,0.5319254,0.52453357,0.5215274,0.39590165,0.50362504,0.24860828,banana
120.9,111,16,40.7,298.2,298.3,0,0,0.47523707,0.10800495,0.8081411,0.31512418,0.8183764,0.6814846,0.49057615,0.9366346,0.15538746,0.6908805,0.45812255,0.2350654,0.45005378,0.3878077,0.4449915,0.51931965,0.4545351,0.6487677,0.47113523,0.7937452,0.51160175,0.80563885,0.5223305,0.65550137,0.52751535,0.5282495,0.5166294,0.39888605,0.4988865,0.251127,banana
