image_name,weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,label
Fiimage000.jpg,390,254.2,67.1,70.4,320.6,319.7,fig
Fiimage001.jpg,385.9,250.5,67.7,76.3,311.9,311.4,fig
Fiimage002.jpg,388.2,252.7,75,72.8,315.7,315.1,fig
Fiimage003.jpg,389,253.6,74.2,75.3,316.9,316.4,fig
Fiimage004.jpg,367,231.8,66.4,77.6,293.7,293.5,fig
Fiimage005.jpg,389.6,254.5,39,106,317.9,317.3,fig
Fiimage006.jpg,361,225.6,62.4,76.5,291.2,290.9,fig
Fiimage007.jpg,359.9,224.1,59.5,94.3,291.5,290.7,fig
Fiimage008.jpg,402.6,264.9,74.1,85.9,329.5,329.3,fig
Fiimage009.jpg,380.2,242,62.5,80.1,311.2,310.7,fig
Fiimage010.jpg,396.1,258.3,78.5,77.7,321.5,321.1,fig
Fiimage011.jpg,396.9,259.3,69.4,80,320.6,320.3,fig
Fiimage012.jpg,407.5,269.7,71.9,75.3,333.3,332.8,fig
Fiimage013.jpg,407,269.1,73.9,78.8,334.9,334.4,fig
Fiimage014.jpg,382.6,247.6,84.1,56.8,308.2,307.7,fig
Fiimage015.jpg,381.1,245.8,58.3,73.5,313.4,313.2,fig
Fiimage016.jpg,399.7,264.6,70.2,77.2,327.6,327,fig
Fiimage017.jpg,386.4,251.1,68.8,78.1,313.3,312.3,fig
Fiimage018.jpg,381.8,246.8,74.6,82.9,308.1,307.8,fig
Fiimage019.jpg,385.9,250.7,62.7,91.5,314.6,314.3,fig
