image_name,weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,label
Grimage000.jpg,335.3,200.5,78.2,93.8,261.5,261.2,greengrape
Grimage001.jpg,342.5,207.7,77,93.8,268.7,267.6,greengrape
Grimage002.jpg,355.3,220.4,75,93.7,281.9,282.4,greengrape
Grimage003.jpg,357.5,222.8,71,88.3,287.4,287,greengrape
Grimage004.jpg,359.5,224.9,64.1,85.7,285.1,285,greengrape
Grimage005.jpg,363.9,229.1,69.3,78,290.9,290.7,greengrape
Grimage006.jpg,349.9,215.4,74.1,89.3,274.6,274.4,greengrape
Grimage007.jpg,357.3,222.4,68.4,85.3,285.8,285.5,greengrape
Grimage008.jpg,378.1,243.4,49.3,84.7,307.2,306.8,greengrape
Grimage009.jpg,355,220,56.7,75.3,286.8,286.4,greengrape
Grimage010.jpg,371.8,237.4,51,74.2,302.5,302.2,greengrape
Grimage011.jpg,363.6,228.9,59.2,82.4,290.7,290.5,greengrape
Grimage012.jpg,338.4,203.6,74.3,96.4,264.9,264.5,greengrape
Grimage013.jpg,358,223.1,69.2,72.2,285.6,285,greengrape
Grimage014.jpg,347.5,212.3,66.4,77.8,279.5,278.8,greengrape
Grimage015.jpg,360.1,225.6,79.6,66.9,286.5,286,greengrape
Grimage016.jpg,384.4,249.7,57.4,78.1,313.4,313.1,greengrape
Grimage017.jpg,358.8,224.4,58.1,66.4,283,282.6,greengrape
Grimage018.jpg,384.1,249.3,63.4,81.8,312.4,312.2,greengrape
Grimage019.jpg,377.1,242.2,57.3,84.3,307.7,307.5,greengrape
