image_name,weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,label
Reimage000.jpg,333.6,203.6,49.8,62.2,263.0,262.3,redgrape
Reimage001.jpg,339.5,209.4,59.5,60.8,268.3,267.7,redgrape
Reimage002.jpg,337.7,207.5,53.0,60.0,269.1,268.3,redgrape
Reimage003.jpg,331.4,201.3,47.6,64.3,261.7,261.0,redgrape
Reimage004.jpg,331.0,200.8,48.7,63.7,261.6,260.7,redgrape
Reimage005.jpg,333.5,203.5,60.1,64.8,264.8,264.3,redgrape
Reimage006.jpg,330.9,200.9,60.2,64.8,262.0,261.5,redgrape
Reimage007.jpg,324.6,194.7,56.2,62.2,256.9,256.4,redgrape
Reimage008.jpg,331.4,201.1,50.9,64.4,260.3,259.5,redgrape
Reimage009.jpg,341.1,210.5,49.7,64.8,270.3,269.7,redgrape
Reimage010.jpg,335.9,205.4,44.1,63.7,267.3,266.7,redgrape
Reimage011.jpg,340.7,210.3,48.1,68.8,270.9,270.4,redgrape
Reimage012.jpg,335.7,205.5,47.3,73.4,263.7,263.1,redgrape
Reimage013.jpg,339.3,209.1,56.5,73.4,268.4,268.1,redgrape
Reimage014.jpg,334.8,204.3,43.6,73.4,264.7,264.3,redgrape
Reimage015.jpg,339.1,208.8,45.4,70.6,269.4,268.8,redgrape
Reimage016.jpg,327.8,197.7,48.0,66.0,257.4,256.9,redgrape
Reimage017.jpg,332.9,202.5,42.1,67.2,263.3,262.9,redgrape
Reimage018.jpg,337.4,207.1,52.0,66.4,265.7,265.1,redgrape
Reimage019.jpg,339.3,208.8,52.5,67.0,269.0,268.4,redgrape
