image_name,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,weight_reading_1,weight_reading_2,label
Cy4image000.jpg,44.2,72.8,384,383.2,460,315.7,cylinder_40
Cy4image001.jpg,42.6,73.5,382.5,381.6,459.3,314.8,cylinder_40
Cy4image002.jpg,33,69.5,372.1,371.2,441.9,296.9,cylinder_40
Cy4image003.jpg,46,69.6,376.2,375.4,453.7,309.6,cylinder_40
Cy4image004.jpg,47.8,68.1,372.8,372.1,450.5,306.5,cylinder_40
Cy4image005.jpg,34.1,73.9,378.7,377.9,451.2,306.5,cylinder_40
Cy4image006.jpg,35.3,74.3,378.9,377.9,451.6,307.1,cylinder_40
Cy4image007.jpg,45.3,65.6,356.8,356.5,436.1,292.5,cylinder_40
Cy4image008.jpg,43.9,72.1,379.4,378.9,456.3,312.1,cylinder_40
Cy4image009.jpg,44.4,72.8,378.3,377.4,455.7,311.4,cylinder_40
Cy4image010.jpg,41.7,61.9,342,341.5,421.1,277.8,cylinder_40
Cy4image011.jpg,36.5,75.5,379.3,378.7,453,308.4,cylinder_40
Cy4image012.jpg,32.9,71.3,363.7,362.7,431.3,286.5,cylinder_40
Cy4image013.jpg,46.2,69.7,371.6,370.8,450.3,306.2,cylinder_40
Cy4image014.jpg,38.5,59.1,333.9,333.5,412.7,269.2,cylinder_40
Cy4image015.jpg,45.2,69.4,365.3,364.2,442.8,299,cylinder_40
Cy4image016.jpg,41.3,74,379.7,378.9,456.2,311.9,cylinder_40
Cy4image017.jpg,36,75.2,378,377.1,451.4,306.8,cylinder_40
Cy4image018.jpg,45.5,70.9,371.5,370.9,450.2,306.1,cylinder_40
Cy4image019.jpg,46.1,70.2,374.5,374.4,452.1,308,cylinder_40
