image_name,weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,label
Teimage000.jpg,337.5,206.3,52.6,61.9,270.5,269.2,testtube
Teimage001.jpg,350,218.8,52.1,64.2,281.9,280.5,testtube
Teimage002.jpg,350.1,218.9,52.1,64,282.1,281.5,testtube
Teimage003.jpg,353.4,222.2,48.4,64.1,285,283.9,testtube
Teimage004.jpg,354.2,223,56.5,73.4,285.3,284.4,testtube
Teimage005.jpg,348.3,217.1,52.8,63.4,279.6,278.2,testtube
Teimage006.jpg,354.2,223,50.4,63.6,285.7,284.5,testtube
Teimage007.jpg,353.7,222.5,50,63,284.8,283.9,testtube
Teimage008.jpg,359.3,228.6,40.7,57.8,290.1,289.4,testtube
Teimage009.jpg,358.8,227.8,53.1,66.9,289.4,288.5,testtube
Teimage010.jpg,364.3,233.1,46.1,58.2,295.7,294.7,testtube
Teimage011.jpg,354.8,223.7,49.7,61.9,287,286,testtube
Teimage012.jpg,347.9,216.6,55.9,65.2,279.9,279.1,testtube
Teimage013.jpg,354.5,223.4,49.7,62.4,286.5,285,testtube
Teimage014.jpg,360.9,229.8,39.4,61.2,292.6,291.6,testtube
Teimage015.jpg,362.1,230.9,39.3,69.1,293.1,292.1,testtube
Teimage016.jpg,351.8,220.9,39.7,69.1,282.4,281,testtube
Teimage017.jpg,360.9,229.8,53.5,60.4,292.5,290.9,testtube
Teimage018.jpg,355,224,49.4,62,286.3,285.2,testtube
Teimage019.jpg,361.1,230.1,40.4,70.5,291.9,290.8,testtube
