weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2
0,0.01,0.46,0.22
0,0.01,0.02,0.11
0.01,0.02,0.26,0.05
0.02,0.02,0.12,0.03
0.01,0.02,0.19,0.01
0,0.01,0.16,0.49
0,0.01,0.33,0.25
0.01,0.02,0.42,0.12
0.01,0.03,0.46,0.44
0,0.03,0.48,0.72
0,0.03,0.49,0.36
0.01,0.02,0,0.68
0.01,0.02,0.25,0.84
0.01,0.03,0.38,0.42
0.01,0.01,0.44,0.71
0.01,0.02,0.47,0.35
0.01,0.02,0.49,0.68
0,0.01,0.49,0.84
0.01,0.02,0.5,0.42
0.02,0.01,0.5,0.21
0.01,0.02,0.5,0.1
0.01,0.03,0.5,0.05
0.02,0.02,0.5,0.03
0.01,0.02,0.5,0.01
0.01,0.01,0.5,0.51
0.03,0.03,0.5,0.25
0.04,0.06,0.5,0.13
0.02,0.04,0.5,0.06
0.02,0.02,0.5,0.03
0.01,0.03,0.5,0.02
0.42,0.34,0,0.49
1.88,1.51,0.75,0.75
3.89,3.23,1.12,1.37
5.97,5.09,1.81,2.19
8.15,7.06,2.65,2.59
10.55,9.04,3.58,2.8
13.14,13.34,4.54,3.4
15.93,15.75,5.02,4.7
18.81,18.32,5.76,5.35
21.89,21.04,7.13,6.68
25.03,23.78,8.31,7.34
28.08,26.45,9.4,8.67
31.11,29.08,10.45,9.83
34.07,31.65,11.47,10.92
36.94,34.23,12.99,12.46
39.8,36.77,14.24,13.23
42.76,39.25,15.37,14.12
45.91,41.89,17.43,15.56
49.36,47.81,18.97,17.28
53.18,51.1,20.73,18.64
57.14,54.59,22.61,20.32
60.86,57.82,24.56,21.66
64.46,60.94,26.03,23.83
68.09,64.27,28.26,25.42
71.56,67.46,30.38,26.71
75.02,70.45,32.44,28.85
78.53,73.58,33.97,30.43
81.85,76.75,35.73,32.21
85.3,79.84,37.62,34.11
89.01,83.08,39.56,36.05
92.96,86.41,42.53,38.53
97.19,93.73,44.51,40.76
101.58,97.75,47.5,43.38
105.83,101.62,50.5,45.69
110.11,105.5,52.5,48.35
114.39,109.31,55.5,50.67
118.45,112.98,58,52.84
122.44,116.49,60.25,55.92
126.58,120.2,62.87,58.46
130.38,123.89,64.69,60.23
134.34,127.39,67.59,63.12
138.57,131.16,70.04,65.56
142.96,134.92,72.77,67.78
147.75,143.27,75.13,70.89
152.58,147.81,78.32,73.95
157.27,152.43,80.91,76.97
162.03,156.82,83.7,79.99
166.67,160.82,86.1,82.49
171.33,164.72,88.8,84.75
175.69,168.55,91.65,86.87
180.19,172.54,94.07,88.94
183.87,176.55,94.29,89.97
184.54,178.68,94.39,90.48
183.8,178.29,93.94,90.74
183.16,177.61,93.72,90.37
182.7,176.45,93.61,90.69
182.26,175.99,93.05,90.34
181.85,175.58,92.78,90.17
181.47,175.22,92.64,89.59
