weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2
0.03,0.01,0.28,0.07
0.02,0,0.22,0.03
0.01,0,0.03,0.02
0.02,0.01,0.16,0.01
0.02,0.02,0.22,0
0.02,0.02,0.25,0
0.02,0.04,0.27,0.5
0.03,0.03,0.27,0.25
0.04,0.02,0.22,0.13
0.02,0.01,0.47,0.06
0.01,0.01,0.59,0.03
0.02,0,0.66,0.52
0.01,0.01,0.69,0.76
0.02,0.01,0.7,0.88
0.02,0.01,0.71,0.44
0.02,0.01,0.71,0.22
0.02,0,0.72,0.11
0.03,0.01,0.72,0.06
0.03,0.01,0.72,0.03
0.02,0.02,0.72,0.01
0.02,0.01,0.72,0.01
0.03,0.01,0.72,0
0.03,0,0.72,0
0.03,0.02,0.22,0.5
0.2,0.02,0.03,0.25
1.58,1.25,0.16,0.37
3.92,3.07,1.22,1.19
6.3,5.04,1.75,1.09
8.73,7.06,2.52,1.55
11.15,9.1,3.4,2.27
13.61,11.11,3.84,3.14
16.18,13.22,4.56,3.57
18.69,15.33,5.42,4.28
21.21,17.47,6.35,5.14
23.81,19.66,7.32,6.07
26.55,21.89,8.8,7.04
29.62,24.24,9.54,8.52
33.05,29.7,10.91,9.26
36.68,32.69,12.6,10.63
40.33,35.74,14.44,11.31
44,38.8,15.36,12.66
47.57,41.79,16.82,13.83
51.02,44.72,18.05,14.91
54.47,47.59,19.67,15.96
57.9,50.57,21.47,17.48
61.32,53.59,23.38,18.74
64.72,56.57,25.83,20.37
68.33,59.65,27.56,22.18
72.4,62.89,29.92,24.09
76.96,70.18,31.6,26.05
81.48,74.12,34.44,28.02
85.7,77.79,36.86,30.01
90.04,81.53,40.07,32.01
94.48,85.4,42.18,34
98.63,88.97,44.73,37
102.69,92.49,47.51,39
106.67,96.14,49.89,41
110.56,99.73,52.59,43.5
114.87,103.42,55.43,45.75
119.33,107.25,57.86,48.37
124.01,110.99,61.57,51.19
129,114.99,64.43,54.09
134.21,123.82,67.85,57.55
139.24,128.07,71.07,60.77
144.15,132.35,73.67,63.39
148.92,136.55,76.98,66.19
153.54,140.52,80.63,69.1
158.22,144.61,83.46,71.55
162.69,148.73,86.37,74.77
167.14,152.65,89.33,76.89
172.02,156.81,91.8,80.44
177.01,161.11,95.54,83.22
182.12,165.33,98.41,86.61
187.74,169.93,102.35,89.8
193.55,180.16,104.81,92.4
199.22,185.36,106.05,96.2
204.4,190.21,108.16,99.1
209.49,194.92,109.72,102.05
214.57,199.67,111.5,104.52
219.6,204.22,112.39,107.26
224.42,208.9,112.84,108.63
226.43,212.1,113.06,108.82
225.7,212.09,112.67,109.41
224.78,211.2,112.48,109.2
224.05,210.5,113.38,108.1
223.46,209.85,113.33,108.55
222.87,208.8,113.31,108.77
222.39,208.33,112.79,108.39
221.98,207.9,112.54,108.19
221.62,207.48,112.91,107.1
221.28,207.1,112.1,107.55
220.93,206.77,112.19,107.27
220.61,206.43,112.24,107.14
220.37,206.09,112.26,106.57
220.15,205.78,112.27,107.28
219.95,205.46,111.78,107.14
219.77,205.16,112.03,107.07
219.54,204.87,111.66,107.04
219.27,204.4,111.47,106.52
219.02,204.2,111.87,105.76
218.38,203.69,111.08,104.88
214.59,200.54,110.18,102.44
