weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2
0.01,0.02,0.05,0.11
0.01,0.01,0.01,0.48
0.01,0.01,0.01,0.16
0.02,0.01,0.02,0.0
0.01,0.01,0.03,0.42
0.0,0.01,0.03,0.13
0.01,0.01,0.03,0.01
0.0,0.0,0.03,0.09
0.01,0.0,0.03,0.12
0.0,0.0,0.03,0.14
0.0,0.0,0.47,0.35
0.0,0.01,0.22,0.1
0.01,0.01,0.09,0.03
0.01,0.0,0.03,0.09
0.01,0.01,0.0,0.37
0.01,0.0,0.02,0.11
0.01,0.01,0.48,0.53
0.0,0.01,0.72,0.34
0.0,0.01,0.35,0.25
0.01,0.01,0.16,0.2
0.0,0.0,1.06,0.18
0.0,0.0,0.52,0.17
0.01,0.05,0.74,0.16
0.0,0.46,0.86,0.34
0.32,1.37,0.41,0.09
1.78,2.7,0.31,0.47
4.2,4.63,0.67,1.15
6.76,6.86,1.35,2.0
9.3,9.08,2.19,2.42
11.93,11.36,2.61,3.13
14.51,15.82,3.32,3.49
17.17,18.1,3.68,4.66
19.87,20.45,3.85,5.25
22.56,22.88,4.94,5.55
25.23,25.31,5.99,6.19
27.98,27.71,6.51,7.52
30.99,30.27,7.27,8.68
34.31,32.99,8.65,9.26
37.86,35.96,9.84,10.05
41.57,39.12,11.44,10.45
45.39,42.36,12.23,11.64
49.15,45.65,13.63,12.24
52.68,48.78,14.83,13.54
56.2,54.71,15.93,14.69
59.63,57.66,16.48,15.27
62.95,60.63,17.76,16.55
66.31,63.63,18.89,17.7
69.94,66.75,20.46,18.27
73.88,69.92,22.25,19.06
78.32,73.37,23.64,20.45
82.97,77.14,25.34,22.15
87.55,81.14,26.68,23.49
92.06,85.08,28.36,24.67
96.6,88.88,30.19,26.25
101.01,92.72,32.11,27.55
105.13,99.82,34.07,29.19
109.5,103.54,35.55,30.52
113.68,107.28,37.29,31.68
117.76,110.96,39.16,32.76
122.24,114.75,41.1,34.3
127.2,118.73,43.56,36.07
132.39,123.02,45.8,37.46
137.8,127.55,47.91,38.65
143.12,132.22,50.47,40.25
148.31,136.65,53.25,42.54
153.45,141.07,56.14,44.19
158.65,145.53,58.59,46.02
163.43,154.08,61.31,47.93
168.3,158.38,64.17,49.39
173.06,162.55,66.6,51.11
177.62,166.56,69.32,52.98
182.6,170.98,71.67,55.41
187.71,175.36,74.35,57.13
192.75,179.74,77.69,59.48
197.85,184.15,80.86,62.16
204.18,189.39,84.95,64.5
210.39,195.29,88.49,66.67
215.93,200.59,91.76,69.26
221.28,205.42,94.4,72.05
226.55,210.27,97.71,74.95
231.66,219.61,100.87,76.89
236.74,224.36,102.45,77.87
239.3,226.8,103.24,78.35
238.82,226.26,103.64,78.6
237.97,225.32,103.33,78.22
237.24,224.55,103.18,78.03
236.63,223.87,103.11,77.94
236.11,223.25,103.07,77.89
235.66,222.67,103.05,77.87
235.22,222.14,102.54,77.85
234.8,221.67,102.29,77.35
234.42,221.25,102.16,77.09
234.05,220.47,102.09,76.47
233.68,220.13,101.56,76.15
233.35,219.79,101.8,76.0
233.05,219.47,101.41,75.92
232.75,219.15,101.22,75.88
232.46,218.84,101.13,75.86
232.18,218.57,101.08,75.85
231.92,218.29,101.06,75.85
231.68,218.03,101.04,75.84
231.18,217.79,99.04,74.84
227.96,216.78,96.03,72.34
