weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2
0.61,0.01,0.26,0.35
0.6,0.02,0.01,0.14
0.6,0,0.12,0.03
0.6,0.01,0.32,0.48
0.59,0.01,0.54,0.2
0.6,0.01,0.65,0.56
0.59,0,0.2,0.24
0.6,0,0.48,0.58
0.6,0,0.12,0.75
0.59,0,0.06,0.34
0.56,0.01,0.15,0.63
0.59,0,0.2,0.78
0.6,0.01,0.28,0.35
0.6,0,0.02,0.14
0.59,0,0.39,0.03
0.59,0,0.07,0.02
0.58,0.01,0.42,0.05
0.58,0.01,0.09,0.44
0.59,0,0.42,0.18
0.57,0.01,0.09,0.05
0.57,0,0.08,0.49
0.6,0,0.34,0.71
0.59,0.01,0.55,0.31
0.59,0.01,0.65,0.62
0.59,0.01,0.71,0.27
0.57,0,0.27,0.6
0.58,0.01,0.26,0.26
0.59,0.01,0.25,0.09
0.59,0.01,0.25,0.01
0.59,0.01,0.01,0.47
0.59,0.01,0.38,0.69
0.58,0.02,0.07,0.31
0.59,0.01,0.09,0.12
0.59,0.01,0.16,0.02
0.6,0.01,0.2,0.47
0.6,0.02,0.22,0.2
0.6,0.02,0.27,0.56
0.59,0.01,0.01,0.74
0.58,0.02,0.11,0.33
0.59,0.03,0.18,0.13
0.59,0.02,0.29,0.03
0.61,0,0.02,0.03
1.1,0.24,0.11,0.05
2.62,1.43,0.68,0.56
4.55,3.38,1.46,0.82
6.64,5.52,2.35,1.45
8.92,7.67,2.8,2.26
11.37,9.88,3.02,2.67
14.16,12.19,3.63,3.87
17.36,17.71,4.44,4.47
20.67,20.73,5.34,5.28
23.76,23.51,6.29,6.18
26.91,26.38,7.77,7.13
30.04,29.27,8.5,7.6
33.04,32,9.37,8.84
36.1,34.75,10.31,9.96
39.1,37.61,11.27,11.02
42.02,40.35,11.76,12.05
45.17,43.18,13,13.06
48.46,46.19,14.12,14.07
52.01,49.29,15.18,15.57
55.83,52.63,16.71,16.32
59.62,59.8,17.48,17.7
63.14,63.1,18.86,19.39
66.73,66.53,20.55,20.73
70.3,69.94,21.9,22.4
73.62,73.07,23.07,23.74
76.97,76.16,24.66,24.41
80.36,79.45,25.95,25.74
83.6,82.65,27.1,27.41
87.06,85.96,28.67,29.24
90.62,89.3,29.96,30.66
94.29,92.62,31.6,31.87
98.33,96.27,33.42,33.97
102.5,104.21,35.33,36.02
106.62,108.14,36.79,38.05
110.45,111.79,38.51,39.56
114.14,115.3,39.88,40.82
117.77,118.75,42.06,42.45
121.34,122.09,44.15,44.26
124.92,125.63,44.7,45.17
126.85,128.3,44.97,45.12
126.63,128.59,45.11,45.1
126.09,127.98,45.67,45.09
125.67,127.47,45.46,45.08
125.32,127.06,45.35,44.58
125,126.69,45.3,44.33
124.71,126.05,44.77,44.2
124.45,125.77,45.01,44.14
