weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2
0.62,0.01,0.25,0.21
0.6,0.01,0.01,0.52
0.6,0.01,0.11,0.18
0.62,0.0,0.17,0.01
0.62,0.0,0.3,0.43
0.6,0.0,0.53,0.14
0.61,0.0,0.65,0.01
0.6,0.01,0.21,0.08
0.6,0.01,0.49,0.12
0.62,0.01,0.63,0.14
0.64,0.01,0.2,0.15
0.62,0.02,0.02,0.15
0.61,0.0,0.38,0.15
0.62,0.01,0.07,0.16
0.63,0.01,0.08,0.16
0.63,0.0,0.65,0.16
0.62,0.0,0.44,0.16
0.61,0.0,0.34,0.16
0.63,0.01,0.28,0.16
0.62,0.01,0.26,0.16
0.61,0.0,0.26,0.16
0.61,0.0,0.51,0.16
0.6,0.0,0.14,0.16
0.6,0.0,0.04,0.16
0.61,0.02,0.36,0.34
0.61,0.02,0.57,0.09
0.6,0.01,0.17,0.47
0.6,0.0,0.03,0.16
0.6,0.0,0.13,0.0
0.6,0.01,0.32,0.08
0.59,0.01,0.04,0.12
0.6,0.0,0.41,0.14
0.61,0.0,0.59,0.15
0.6,0.01,0.68,0.15
0.59,0.0,0.22,0.35
0.59,0.02,0.0,0.09
0.6,0.02,0.12,0.03
0.58,0.02,0.33,0.09
0.6,0.01,0.05,0.13
0.61,0.01,0.09,0.36
0.59,0.02,0.16,0.6
0.75,0.27,0.3,0.72
1.79,1.47,1.04,1.28
3.69,3.42,1.4,2.06
5.78,5.53,2.09,1.95
7.99,7.68,2.43,2.4
10.32,9.85,3.1,3.12
12.88,12.13,3.93,3.48
15.78,14.56,4.85,4.16
19.05,17.39,5.31,5.0
22.31,20.45,6.54,5.92
25.38,23.32,7.16,6.88
28.48,26.11,7.46,7.86
31.61,28.96,8.62,8.35
34.61,34.49,9.69,9.6
37.65,37.3,10.23,10.72
40.64,40.14,11.0,11.78
43.48,42.85,12.39,12.81
46.58,45.76,13.58,13.83
49.91,48.81,14.67,15.34
53.51,52.02,16.22,16.59
57.3,55.5,17.5,17.72
61.04,59.11,18.13,18.78
64.63,62.6,19.45,20.31
68.13,66.01,21.11,21.58
71.58,69.35,22.44,23.21
74.95,75.81,23.6,24.53
78.38,79.07,24.69,26.18
81.75,82.35,26.23,27.51
84.97,85.51,28.0,28.68
88.37,88.79,29.38,30.26
91.96,92.15,30.58,31.55
95.76,95.62,32.17,33.2
99.81,99.43,34.47,35.02
103.96,103.4,36.12,36.43
108.0,107.35,37.95,38.14
111.73,111.08,39.86,39.99
115.39,114.62,41.31,41.42
119.03,121.5,43.04,43.13
122.56,124.84,45.41,44.99
126.03,128.21,45.59,45.91
127.78,129.97,45.68,45.88
127.47,129.64,45.72,45.86
126.91,129.04,45.75,45.85
126.46,128.52,45.76,45.85
126.06,128.08,45.26,45.85
125.72,127.69,45.52,46.34
125.43,127.37,45.14,46.09
125.18,127.07,45.46,45.97
124.92,126.78,45.11,45.41
124.71,126.52,44.94,45.62
124.5,126.04,44.86,45.23
124.3,125.82,44.81,45.04
124.11,125.62,44.79,45.44
123.92,125.43,44.78,45.14
123.75,125.25,44.78,44.99
123.6,125.09,44.77,44.92
123.45,124.93,44.77,44.88
123.29,124.77,44.77,44.86
123.16,124.62,44.27,45.35
122.93,124.45,44.02,43.6
121.21,123.93,42.89,42.22
117.04,121.18,40.83,41.03
112.32,112.03,39.3,39.44
107.75,108.01,37.04,37.14
103.22,103.99,35.4,35.49
98.85,99.87,33.09,33.17
94.57,95.67,30.93,31.51
90.25,91.49,29.35,29.67
85.73,87.15,27.56,27.76
81.3,82.71,25.66,26.3
77.47,78.84,24.22,24.57
73.79,75.28,22.49,23.21
70.18,71.63,21.13,21.53
66.64,68.14,19.45,19.68
62.96,64.71,18.11,18.26
59.37,57.72,16.44,17.05
55.85,54.32,15.1,15.45
52.3,50.94,13.94,14.65
48.73,47.58,12.85,13.24
45.06,44.14,11.81,12.04
41.37,40.69,10.79,10.94
37.99,37.56,9.28,9.89
34.87,34.81,8.03,8.87
31.83,32.06,7.4,7.86
28.76,29.35,6.58,6.85
25.3,26.24,5.68,5.85
